index,name,rule,class,disputed,radius,S_min,S_median,S_max,alpha_min,alpha_median,alpha_max,selected_count,conditions
0,eca-0,0.0,1.0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0,5
1,eca-1,1.0,2.0,False,1,0.0,0.167950330267072,0.3662811725651686,0.0,0.0,0.0,0,5
2,eca-10,10.0,2.0,False,1,0.0,0.001839088993645,0.0151535664662989,0.0,0.0,0.0,0,5
3,eca-104,104.0,2.0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0,5
4,eca-105,105.0,3.0,False,1,0.0,0.0,0.0,0.9985931787857544,0.9985931787857544,0.9985931787857544,0,5
5,eca-106,106.0,4.0,True,1,0.0,0.0,0.0,0.9885989478738082,0.9989229097229992,1.0079085315188985,0,5
6,eca-108,108.0,2.0,False,1,0.0092117844707636,0.0397291731646684,0.1061846610103878,0.0,0.0,0.0,0,5
7,eca-11,11.0,2.0,False,1,0.0641157788298722,0.0952232446399062,0.1114112594742206,0.0,0.0,0.0,0,5
8,eca-110,110.0,4.0,False,1,0.2223324313099465,0.2266670483560932,0.2270951040238886,0.6831268634682903,0.7874717586954315,0.8594512917712313,5,5
9,eca-12,12.0,2.0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0,5
10,eca-122,122.0,3.0,False,1,0.0,0.0,0.0,1.0046984142892394,1.0055502920715726,1.0058324453021543,0,5
11,eca-126,126.0,3.0,False,1,0.0,0.0,0.0,1.002076755697786,1.0026590679555734,1.003125041937928,0,5
12,eca-128,128.0,1.0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0,5
13,eca-13,13.0,2.0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0,5
14,eca-130,130.0,2.0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0,5
15,eca-132,132.0,2.0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0,5
16,eca-134,134.0,2.0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0,5
17,eca-136,136.0,1.0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0,5
18,eca-138,138.0,2.0,False,1,0.0,0.0074215986512935,0.0974607713707051,0.0,0.0,0.0,0,5
19,eca-14,14.0,2.0,False,1,0.0,0.0,0.1743007391228272,0.0,0.0,0.4947009251103663,0,5
20,eca-140,140.0,2.0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0,5
21,eca-142,142.0,2.0,False,1,0.0,0.0,0.1087526355170227,0.0,0.0,0.492821487341364,0,5
22,eca-146,146.0,3.0,False,1,0.0,0.0,0.0,1.0010460918104278,1.0013151883674474,1.0015368572381,0,5
23,eca-15,15.0,2.0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0,5
24,eca-150,150.0,3.0,False,1,0.0,0.0,0.0,0.9985931787857544,0.9985931787857544,0.9985931787857544,0,5
25,eca-152,152.0,2.0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0,5
26,eca-154,154.0,2.0,False,1,0.0,0.0,0.0447636275503276,0.0,0.0,0.0,0,5
27,eca-156,156.0,2.0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0,5
28,eca-160,160.0,1.0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0,5
29,eca-162,162.0,2.0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0,5
30,eca-164,164.0,2.0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0,5
31,eca-168,168.0,1.0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0,5
32,eca-170,170.0,2.0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0,5
33,eca-172,172.0,2.0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0,5
34,eca-178,178.0,2.0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0,5
35,eca-18,18.0,3.0,False,1,0.0,0.0,0.0,1.0011694051389148,1.001541664865945,1.001682828187496,0,5
36,eca-184,184.0,2.0,False,1,0.0,0.0,0.0,0.0,0.0,0.3465061176080282,0,5
37,eca-19,19.0,2.0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0,5
38,eca-2,2.0,2.0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0,5
39,eca-200,200.0,2.0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0,5
40,eca-204,204.0,2.0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0,5
41,eca-22,22.0,3.0,False,1,0.0,0.0,0.0,0.9959849068455912,1.000265582468964,1.004201735978616,0,5
42,eca-23,23.0,2.0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0,5
43,eca-232,232.0,2.0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0,5
44,eca-24,24.0,2.0,False,1,0.0,0.0,0.0001595036434571,0.0,0.0,0.0,0,5
45,eca-25,25.0,2.0,False,1,0.0,0.0,0.0,0.0,0.0642653222194355,0.2781018539227355,0,5
46,eca-26,26.0,2.0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0,5
47,eca-27,27.0,2.0,False,1,0.0051809376669292,0.0095414351489663,0.042349220720018,0.0,0.0,0.0,0,5
48,eca-28,28.0,2.0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0,5
49,eca-29,29.0,2.0,False,1,0.0952544552078108,0.4722242536478986,0.7928466659760027,0.0,0.0,0.0,0,5
50,eca-3,3.0,2.0,False,1,0.0,0.0072083183160128,0.0363606198164071,0.0,0.0,0.0,0,5
51,eca-30,30.0,3.0,False,1,0.0,0.0,0.0,0.9869246527358172,0.995364492740505,1.0013164134767534,0,5
52,eca-32,32.0,1.0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0,5
53,eca-33,33.0,2.0,False,1,0.0,0.0,0.0682409988857751,0.0,0.0,0.0,0,5
54,eca-34,34.0,2.0,False,1,0.0,0.0,0.0003182043265104,0.0,0.0,0.0,0,5
55,eca-35,35.0,2.0,False,1,0.0,0.0,0.0372508509201131,0.0,0.0,0.0,0,5
56,eca-36,36.0,2.0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0,5
57,eca-37,37.0,2.0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0,5
58,eca-38,38.0,2.0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0,5
59,eca-4,4.0,2.0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0,5
60,eca-40,40.0,1.0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0,5
61,eca-41,41.0,4.0,True,1,0.0002593635088135,0.005923628996004,0.0062496989669981,0.0,0.0550849501692701,0.0958261677096684,0,5
62,eca-42,42.0,2.0,False,1,0.0,0.0,0.0008737544788822,0.0,0.0,0.0,0,5
63,eca-43,43.0,2.0,False,1,0.0,0.0,0.1493643923991159,0.0,0.0,0.6944622287722314,0,5
64,eca-44,44.0,2.0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0,5
65,eca-45,45.0,3.0,False,1,0.0,0.0,0.0,0.9925220380579056,1.001423453561972,1.0055489787777223,0,5
66,eca-46,46.0,2.0,False,1,0.0,0.0015349758259803,0.239260648031763,0.0,0.0,0.0,0,5
67,eca-5,5.0,2.0,False,1,0.0370002052717096,0.2943655361511145,0.5299417030711399,0.0,0.0,0.0,0,5
68,eca-50,50.0,2.0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0,5
69,eca-51,51.0,2.0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0,5
70,eca-54,54.0,4.0,False,1,0.2049895616147079,0.2071108912052826,0.2137243235443659,0.9911791232710164,1.038223504749319,1.1013815179957676,5,5
71,eca-56,56.0,2.0,False,1,0.0,0.0,0.0753421264057295,0.0,0.0,0.0,0,5
72,eca-57,57.0,2.0,False,1,0.0,0.0,0.0,0.0,0.0282221738898135,0.4751832887398398,0,5
73,eca-58,58.0,2.0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0,5
74,eca-6,6.0,2.0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0,5
75,eca-60,60.0,3.0,False,1,0.0,0.0,0.0,0.997190466413176,0.997190466413176,0.997190466413176,0,5
76,eca-62,62.0,2.0,False,1,0.5616147041681654,0.5930585954270786,0.6010217913579647,0.0522772788670547,0.3342853014073451,0.498938756887789,0,5
77,eca-7,7.0,2.0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0,5
78,eca-72,72.0,2.0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0,5
79,eca-73,73.0,2.0,False,1,0.0621975868589977,0.0729753674390213,0.0796200038043331,0.0067573661753088,0.027798452343572,0.0842825958163416,0,5
80,eca-74,74.0,2.0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0,5
81,eca-76,76.0,2.0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0,5
82,eca-77,77.0,2.0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0,5
83,eca-78,78.0,2.0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0,5
84,eca-8,8.0,1.0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0,5
