rule,first_floor_faithful_exists,first_floor_original_G_exists,first_floor_centered_G_exists,selected_mask,selected_shift,selected_Q,selected_order,selected_3d_native,selected_3d_source_recovery,selected_3d_parent_recovery,selected_3d_G_eligible,selected_3d_G_mode,selected_3d_G_pass,best_known_3d_G_mode,historical_4d_faithful,historical_4d_G
0,1,1,1,birth,1,pair:-1:2,PDMQ,1,1,1,1,original,1,original,1,1
1,1,1,1,death,1,pair:-1:2,PDMQ,1,1,1,1,original,1,original,not_tested,not_tested
2,1,1,1,birth,1,pair:-1:2,PDMQ,1,1,1,1,original,1,original,1,1
3,1,1,1,death,-1,pair:-1:2,PDMQ,1,1,1,1,original,1,original,1,1
4,1,1,1,stay_one,1,pair:-1:2,PDMQ,1,1,1,1,original,1,original,not_tested,not_tested
5,1,0,1,birth,1,directed:-1:2:not-left-and-right,PDMQ,1,1,1,1,centered,1,centered,not_tested,not_tested
6,1,1,1,stay_one,1,pair:-1:2,PDMQ,1,1,1,1,original,0,none,not_tested,not_tested
7,1,0,1,birth,1,directed:-1:2:not-left-and-right,PDMQ,1,1,1,1,centered,1,centered,not_tested,not_tested
8,1,1,1,birth,1,pair:-1:2,PDMQ,1,1,1,1,original,1,original,1,1
9,1,1,1,death,1,pair:-1:2,PDMQ,1,1,1,1,original,1,original,not_tested,not_tested
10,1,1,1,birth,1,pair:-1:2,PDMQ,1,1,1,1,original,1,original,1,1
11,1,1,1,death,1,pair:-1:2,PDMQ,1,1,1,1,original,1,original,1,1
12,1,1,1,stay_one,1,pair:-1:2,PDMQ,1,1,1,1,original,1,original,1,1
13,1,0,1,death,1,directed:-1:2:not-left-and-right,PDMQ,1,1,1,1,centered,1,centered,not_tested,not_tested
14,1,1,1,stay_one,1,pair:-1:2,PDMQ,1,1,1,1,original,0,original,1,0
15,1,0,1,birth,1,directed:-1:2:not-left-and-right,PDMQ,1,1,1,1,centered,1,centered,not_tested,not_tested
16,1,1,1,birth,-1,pair:-2:1,PDMQ,1,1,1,1,original,1,original,1,1
17,1,1,1,death,1,pair:-2:1,PDMQ,1,1,1,1,original,1,original,1,1
18,1,1,1,death,1,pair:-1:2,PDMQ,1,1,1,1,original,1,original,1,1
19,1,0,1,birth,1,directed:-1:2:not-left-and-right,PDMQ,1,1,1,1,centered,1,centered,not_tested,not_tested
20,1,1,1,stay_one,-1,pair:-2:1,PDMQ,1,1,1,1,original,0,none,not_tested,not_tested
21,1,0,1,birth,-1,directed:-2:1:left-and-not-right,PDMQ,1,1,1,1,centered,1,centered,not_tested,not_tested
22,1,1,1,birth,1,directed:-1:2:not-left-and-right,PDMQ,1,1,1,1,original,1,original,not_tested,not_tested
23,1,0,1,birth,1,directed:-1:2:not-left-and-right,PDMQ,1,1,1,1,centered,1,centered,not_tested,not_tested
24,1,1,1,birth,1,pair:-1:2,PDMQ,1,1,1,1,original,1,original,1,1
25,1,1,1,death,1,pair:-1:2,PDMQ,1,1,1,1,original,1,original,1,1
26,1,1,1,birth,1,pair:-1:2,PDMQ,1,1,1,1,original,1,original,1,1
27,1,1,1,death,1,pair:-1:2,PDMQ,1,1,1,1,original,1,original,1,1
28,1,1,1,stay_one,1,pair:-1:2,PDMQ,1,1,1,1,original,1,original,not_tested,not_tested
29,1,0,1,birth,1,directed:-1:2:not-left-and-right,PDMQ,1,1,1,1,centered,1,centered,not_tested,not_tested
30,1,0,0,stay_one,1,pair:-1:2,PDMQ,1,1,1,0,none,0,none,not_tested,not_tested
31,1,0,1,birth,1,directed:-1:2:not-left-and-right,PDMQ,1,1,1,1,centered,1,centered,not_tested,not_tested
32,1,1,1,birth,1,pair:-1:2,PDMQ,1,1,1,1,original,1,original,1,1
33,1,0,1,birth,1,directed:-1:2:not-left-and-right,PDMQ,1,1,1,1,centered,1,centered,not_tested,not_tested
34,1,1,1,birth,1,pair:-1:2,PDMQ,1,1,1,1,original,1,original,1,1
35,1,0,0,death,1,pair:-1:2,PDMQ,1,1,1,0,none,0,none,not_tested,not_tested
36,1,1,1,birth,1,pair:-1:2,PDMQ,1,1,1,1,original,1,original,1,1
37,1,0,1,death,1,pair:-1:2,PDMQ,1,1,1,1,centered,1,centered,not_tested,not_tested
38,1,1,1,birth,1,pair:-1:2,PDMQ,1,1,1,1,original,1,original,1,1
39,1,1,1,death,-1,pair:-1:2,PDMQ,1,1,1,1,original,1,original,1,1
40,1,1,1,birth,1,pair:-1:2,PDMQ,1,1,1,1,original,1,original,1,1
41,1,0,1,death,1,directed:-1:2:not-left-and-right,PDMQ,1,1,1,1,centered,1,centered,not_tested,not_tested
42,1,1,1,birth,1,pair:-1:2,PDMQ,1,1,1,1,original,1,original,1,1
43,1,0,0,death,1,pair:-1:2,PDMQ,1,1,1,0,none,0,none,not_tested,not_tested
44,1,1,1,death,1,pair:-1:2,PDMQ,1,1,1,1,original,1,original,1,1
45,1,0,1,death,1,pair:-1:2,PDMQ,1,1,1,1,centered,1,centered,not_tested,not_tested
46,1,1,1,birth,1,pair:-1:2,PDMQ,1,1,1,1,original,1,original,1,1
