m,w,area,k,u,v,candidates,off_code,wider_context,accepted,rules
1,1,1,1,-1,0,2,0,2,0,
1,1,1,1,0,0,2,0,0,2,232
1,1,1,1,1,0,2,0,2,0,
1,1,1,2,-2,0,2,0,2,0,
1,1,1,2,-1,0,2,0,2,0,
1,1,1,2,0,0,2,0,2,0,
1,1,1,2,1,0,2,0,2,0,
1,1,1,2,2,0,2,0,2,0,
1,1,1,3,-3,0,2,0,2,0,
1,1,1,3,-2,0,2,0,2,0,
1,1,1,3,-1,0,2,0,2,0,
1,1,1,3,0,0,2,0,2,0,
1,1,1,3,1,0,2,0,2,0,
1,1,1,3,2,0,2,0,2,0,
1,1,1,3,3,0,2,0,2,0,
1,2,2,1,-1,0,12,4,0,8,192 252
1,2,2,1,0,0,12,10,0,2,204
1,2,2,1,1,0,12,4,0,8,136 238
1,2,2,2,-2,0,12,2,8,2,240
1,2,2,2,-1,0,12,12,0,0,
1,2,2,2,0,0,12,2,0,10,128 204 254
1,2,2,2,1,0,12,12,0,0,
1,2,2,2,2,0,12,2,8,2,170
1,2,2,3,-3,0,12,4,8,0,
1,2,2,3,-2,0,12,10,0,2,240
1,2,2,3,-1,0,12,4,8,0,
1,2,2,3,0,0,12,10,0,2,204
1,2,2,3,1,0,12,4,8,0,
1,2,2,3,2,0,12,10,0,2,170
1,2,2,3,3,0,12,4,8,0,
1,3,3,1,-1,0,56,44,0,12,0 255
1,3,3,1,0,0,56,42,0,14,0 204 255
1,3,3,1,1,0,56,44,0,12,0 255
1,3,3,2,-2,0,56,44,0,12,0 255
1,3,3,2,-1,0,56,44,0,12,0 255
1,3,3,2,0,0,56,42,0,14,0 204 255
1,3,3,2,1,0,56,44,0,12,0 255
1,3,3,2,2,0,56,44,0,12,0 255
1,3,3,3,-3,0,56,42,0,14,0 240 255
1,3,3,3,-2,0,56,44,0,12,0 255
1,3,3,3,-1,0,56,44,0,12,0 255
1,3,3,3,0,0,56,42,0,14,0 204 255
1,3,3,3,1,0,56,44,0,12,0 255
1,3,3,3,2,0,56,44,0,12,0 255
1,3,3,3,3,0,56,42,0,14,0 170 255
1,4,4,1,-1,0,240,224,0,16,0 255
1,4,4,1,0,0,240,208,0,32,0 204 255
1,4,4,1,1,0,240,224,0,16,0 255
1,4,4,2,-2,0,240,216,0,24,0 192 252 255
1,4,4,2,-1,0,240,224,0,16,0 255
1,4,4,2,0,0,240,208,0,32,0 204 255
1,4,4,2,1,0,240,224,0,16,0 255
1,4,4,2,2,0,240,216,0,24,0 136 238 255
1,4,4,3,-3,0,240,224,0,16,0 255
1,4,4,3,-2,0,240,224,0,16,0 255
1,4,4,3,-1,0,240,224,0,16,0 255
1,4,4,3,0,0,240,208,0,32,0 204 255
1,4,4,3,1,0,240,224,0,16,0 255
1,4,4,3,2,0,240,224,0,16,0 255
1,4,4,3,3,0,240,224,0,16,0 255
1,5,5,1,-1,0,992,972,0,20,0 255
1,5,5,1,0,0,992,902,0,90,0 204 255
1,5,5,1,1,0,992,972,0,20,0 255
1,5,5,2,-2,0,992,952,0,40,0 255
1,5,5,2,-1,0,992,952,0,40,0 255
1,5,5,2,0,0,992,882,0,110,0 204 255
1,5,5,2,1,0,992,952,0,40,0 255
1,5,5,2,2,0,992,952,0,40,0 255
1,5,5,3,-3,0,992,952,0,40,0 255
1,5,5,3,-2,0,992,952,0,40,0 255
1,5,5,3,-1,0,992,952,0,40,0 255
1,5,5,3,0,0,992,882,0,110,0 204 255
1,5,5,3,1,0,992,952,0,40,0 255
1,5,5,3,2,0,992,952,0,40,0 255
1,5,5,3,3,0,992,952,0,40,0 255
1,6,6,1,-1,0,4032,3996,0,36,0 255
1,6,6,1,0,0,4032,3758,0,274,0 204 255
1,6,6,1,1,0,4032,3996,0,36,0 255
1,6,6,2,-2,0,4032,3972,0,60,0 255
1,6,6,2,-1,0,4032,3972,0,60,0 255
1,6,6,2,0,0,4032,3734,0,298,0 204 255
1,6,6,2,1,0,4032,3972,0,60,0 255
1,6,6,2,2,0,4032,3972,0,60,0 255
1,6,6,3,-3,0,4032,3964,0,68,0 192 252 255
1,6,6,3,-2,0,4032,3972,0,60,0 255
1,6,6,3,-1,0,4032,3972,0,60,0 255
1,6,6,3,0,0,4032,3734,0,298,0 204 255
1,6,6,3,1,0,4032,3972,0,60,0 255
1,6,6,3,2,0,4032,3972,0,60,0 255
1,6,6,3,3,0,4032,3964,0,68,0 136 238 255
2,1,2,1,-1,-1,12,0,8,4,204
2,1,2,1,-1,0,12,8,4,0,
2,1,2,1,0,-1,12,0,0,12,170 232 240
2,1,2,1,0,0,12,8,0,4,23 232
2,1,2,1,1,-1,12,0,8,4,204
2,1,2,1,1,0,12,8,4,0,
2,1,2,2,-2,-1,12,8,4,0,
2,1,2,2,-2,0,12,0,8,4,204
2,1,2,2,-1,-1,12,8,4,0,
2,1,2,2,-1,0,12,0,8,4,170
2,1,2,2,0,-1,12,8,4,0,
2,1,2,2,0,0,12,0,12,0,
2,1,2,2,1,-1,12,8,4,0,
2,1,2,2,1,0,12,0,8,4,240
2,1,2,2,2,-1,12,8,4,0,
2,1,2,2,2,0,12,0,8,4,204
2,1,2,3,-3,-1,12,0,8,4,204
2,1,2,3,-3,0,12,8,4,0,
2,1,2,3,-2,-1,12,0,8,4,170
2,1,2,3,-2,0,12,8,4,0,
2,1,2,3,-1,-1,12,0,12,0,
2,1,2,3,-1,0,12,8,4,0,
2,1,2,3,0,-1,12,0,12,0,
2,1,2,3,0,0,12,8,4,0,
2,1,2,3,1,-1,12,0,12,0,
2,1,2,3,1,0,12,8,4,0,
