m,w,area,a,b,k,u,v,rule,physical_flips
1,1,1,0,1,1,0,0,232,1
1,1,1,1,0,1,0,0,232,1
1,2,2,0,1,1,-1,0,192,1
1,2,2,0,2,1,-1,0,192,1
1,2,2,1,0,1,-1,0,252,1
1,2,2,1,3,1,-1,0,252,1
1,2,2,2,0,1,-1,0,252,1
1,2,2,2,3,1,-1,0,252,1
1,2,2,3,1,1,-1,0,192,1
1,2,2,3,2,1,-1,0,192,1
1,2,2,0,3,1,0,0,204,2
1,2,2,3,0,1,0,0,204,2
1,2,2,0,1,1,1,0,136,1
1,2,2,0,2,1,1,0,136,1
1,2,2,1,0,1,1,0,238,1
1,2,2,1,3,1,1,0,238,1
1,2,2,2,0,1,1,0,238,1
1,2,2,2,3,1,1,0,238,1
1,2,2,3,1,1,1,0,136,1
1,2,2,3,2,1,1,0,136,1
1,2,2,0,3,2,-2,0,240,2
1,2,2,3,0,2,-2,0,240,2
1,2,2,0,1,2,0,0,128,1
1,2,2,0,2,2,0,0,128,1
1,2,2,0,3,2,0,0,204,2
1,2,2,1,0,2,0,0,254,1
1,2,2,1,3,2,0,0,254,1
1,2,2,2,0,2,0,0,254,1
1,2,2,2,3,2,0,0,254,1
1,2,2,3,0,2,0,0,204,2
1,2,2,3,1,2,0,0,128,1
1,2,2,3,2,2,0,0,128,1
1,2,2,0,3,2,2,0,170,2
1,2,2,3,0,2,2,0,170,2
1,2,2,0,3,3,-2,0,240,2
1,2,2,3,0,3,-2,0,240,2
1,2,2,0,3,3,0,0,204,2
1,2,2,3,0,3,0,0,204,2
1,2,2,0,3,3,2,0,170,2
1,2,2,3,0,3,2,0,170,2
1,3,3,0,1,1,-1,0,0,1
1,3,3,0,2,1,-1,0,0,1
1,3,3,0,4,1,-1,0,0,1
1,3,3,1,0,1,-1,0,255,1
1,3,3,2,0,1,-1,0,255,1
1,3,3,3,7,1,-1,0,255,1
1,3,3,4,0,1,-1,0,255,1
1,3,3,5,7,1,-1,0,255,1
1,3,3,6,7,1,-1,0,255,1
1,3,3,7,3,1,-1,0,0,1
1,3,3,7,5,1,-1,0,0,1
1,3,3,7,6,1,-1,0,0,1
1,3,3,0,1,1,0,0,0,1
1,3,3,0,2,1,0,0,0,1
1,3,3,0,4,1,0,0,0,1
1,3,3,0,7,1,0,0,204,3
1,3,3,1,0,1,0,0,255,1
1,3,3,2,0,1,0,0,255,1
1,3,3,3,7,1,0,0,255,1
1,3,3,4,0,1,0,0,255,1
1,3,3,5,7,1,0,0,255,1
1,3,3,6,7,1,0,0,255,1
1,3,3,7,0,1,0,0,204,3
1,3,3,7,3,1,0,0,0,1
1,3,3,7,5,1,0,0,0,1
1,3,3,7,6,1,0,0,0,1
1,3,3,0,1,1,1,0,0,1
1,3,3,0,2,1,1,0,0,1
1,3,3,0,4,1,1,0,0,1
1,3,3,1,0,1,1,0,255,1
1,3,3,2,0,1,1,0,255,1
1,3,3,3,7,1,1,0,255,1
1,3,3,4,0,1,1,0,255,1
1,3,3,5,7,1,1,0,255,1
1,3,3,6,7,1,1,0,255,1
1,3,3,7,3,1,1,0,0,1
1,3,3,7,5,1,1,0,0,1
1,3,3,7,6,1,1,0,0,1
1,3,3,0,1,2,-2,0,0,1
1,3,3,0,2,2,-2,0,0,1
1,3,3,0,4,2,-2,0,0,1
1,3,3,1,0,2,-2,0,255,1
1,3,3,2,0,2,-2,0,255,1
1,3,3,3,7,2,-2,0,255,1
1,3,3,4,0,2,-2,0,255,1
1,3,3,5,7,2,-2,0,255,1
1,3,3,6,7,2,-2,0,255,1
1,3,3,7,3,2,-2,0,0,1
1,3,3,7,5,2,-2,0,0,1
1,3,3,7,6,2,-2,0,0,1
1,3,3,0,1,2,-1,0,0,1
1,3,3,0,2,2,-1,0,0,1
1,3,3,0,4,2,-1,0,0,1
1,3,3,1,0,2,-1,0,255,1
1,3,3,2,0,2,-1,0,255,1
1,3,3,3,7,2,-1,0,255,1
1,3,3,4,0,2,-1,0,255,1
1,3,3,5,7,2,-1,0,255,1
1,3,3,6,7,2,-1,0,255,1
1,3,3,7,3,2,-1,0,0,1
1,3,3,7,5,2,-1,0,0,1
1,3,3,7,6,2,-1,0,0,1
1,3,3,0,1,2,0,0,0,1
1,3,3,0,2,2,0,0,0,1
1,3,3,0,4,2,0,0,0,1
1,3,3,0,7,2,0,0,204,3
1,3,3,1,0,2,0,0,255,1
1,3,3,2,0,2,0,0,255,1
1,3,3,3,7,2,0,0,255,1
1,3,3,4,0,2,0,0,255,1
1,3,3,5,7,2,0,0,255,1
1,3,3,6,7,2,0,0,255,1
1,3,3,7,0,2,0,0,204,3
1,3,3,7,3,2,0,0,0,1
1,3,3,7,5,2,0,0,0,1
1,3,3,7,6,2,0,0,0,1
1,3,3,0,1,2,1,0,0,1
1,3,3,0,2,2,1,0,0,1
1,3,3,0,4,2,1,0,0,1
1,3,3,1,0,2,1,0,255,1
1,3,3,2,0,2,1,0,255,1
1,3,3,3,7,2,1,0,255,1
1,3,3,4,0,2,1,0,255,1
1,3,3,5,7,2,1,0,255,1
1,3,3,6,7,2,1,0,255,1
1,3,3,7,3,2,1,0,0,1
1,3,3,7,5,2,1,0,0,1
1,3,3,7,6,2,1,0,0,1
1,3,3,0,1,2,2,0,0,1
1,3,3,0,2,2,2,0,0,1
1,3,3,0,4,2,2,0,0,1
1,3,3,1,0,2,2,0,255,1
1,3,3,2,0,2,2,0,255,1
1,3,3,3,7,2,2,0,255,1
1,3,3,4,0,2,2,0,255,1
1,3,3,5,7,2,2,0,255,1
1,3,3,6,7,2,2,0,255,1
1,3,3,7,3,2,2,0,0,1
1,3,3,7,5,2,2,0,0,1
1,3,3,7,6,2,2,0,0,1
1,3,3,0,1,3,-3,0,0,1
1,3,3,0,2,3,-3,0,0,1
1,3,3,0,4,3,-3,0,0,1
1,3,3,0,7,3,-3,0,240,3
1,3,3,1,0,3,-3,0,255,1
1,3,3,2,0,3,-3,0,255,1
1,3,3,3,7,3,-3,0,255,1
1,3,3,4,0,3,-3,0,255,1
1,3,3,5,7,3,-3,0,255,1
1,3,3,6,7,3,-3,0,255,1
1,3,3,7,0,3,-3,0,240,3
