m,a,b,k,primitive_m,physical_flips,rule,off_code,outer_conflicts,witness_input,witness_other,witness_output
1,0,1,1,1,1,232,0,0,-1,-1,-1
1,0,1,2,1,1,-1,0,4,11,10,1
1,0,1,3,1,1,-1,0,16,22,20,1
1,1,0,1,1,1,232,0,0,-1,-1,-1
1,1,0,2,1,1,-1,0,4,11,10,0
1,1,0,3,1,1,-1,0,16,22,20,0
2,0,1,1,2,1,-1,4,0,1,-1,2
2,0,1,2,2,1,-1,0,16,1,0,1
2,0,1,3,2,1,-1,64,0,1,-1,2
2,0,2,1,2,1,-1,4,0,1,-1,1
2,0,2,2,2,1,-1,0,16,1,0,2
2,0,2,3,2,1,-1,64,0,1,-1,1
2,0,3,1,1,2,232,0,0,-1,-1,-1
2,0,3,2,1,2,-1,0,4,11,10,3
2,0,3,3,1,2,-1,0,16,22,20,3
2,1,0,1,2,1,-1,4,0,0,-1,2
2,1,0,2,2,1,-1,0,16,1,0,0
2,1,0,3,2,1,-1,64,0,0,-1,2
2,1,2,1,2,2,23,0,0,-1,-1,-1
2,1,2,2,2,2,-1,0,4,11,10,2
2,1,2,3,2,2,-1,0,16,22,20,1
2,1,3,1,2,1,-1,4,0,0,-1,2
2,1,3,2,2,1,-1,0,16,16,0,3
2,1,3,3,2,1,-1,64,0,0,-1,2
2,2,0,1,2,1,-1,4,0,0,-1,1
2,2,0,2,2,1,-1,0,16,1,0,0
2,2,0,3,2,1,-1,64,0,0,-1,1
2,2,1,1,2,2,23,0,0,-1,-1,-1
2,2,1,2,2,2,-1,0,4,11,10,1
2,2,1,3,2,2,-1,0,16,22,20,2
2,2,3,1,2,1,-1,4,0,0,-1,1
2,2,3,2,2,1,-1,0,16,16,0,3
2,2,3,3,2,1,-1,64,0,0,-1,1
2,3,0,1,1,2,232,0,0,-1,-1,-1
2,3,0,2,1,2,-1,0,4,11,10,0
2,3,0,3,1,2,-1,0,16,22,20,0
2,3,1,1,2,1,-1,4,0,4,-1,2
2,3,1,2,2,1,-1,0,16,16,0,1
2,3,1,3,2,1,-1,64,0,64,-1,2
2,3,2,1,2,1,-1,4,0,4,-1,1
2,3,2,2,2,1,-1,0,16,16,0,2
2,3,2,3,2,1,-1,64,0,64,-1,1
3,0,1,1,3,1,-1,4,0,1,-1,2
3,0,1,2,3,1,-1,16,0,1,-1,4
3,0,1,3,3,1,-1,0,64,1,0,1
3,0,2,1,3,1,-1,4,0,1,-1,4
3,0,2,2,3,1,-1,16,0,1,-1,1
3,0,2,3,3,1,-1,0,64,1,0,2
3,0,3,1,3,2,-1,5,0,1,-1,4
3,0,3,2,3,2,-1,17,0,1,-1,1
3,0,3,3,3,2,-1,79,0,1,-1,2
3,0,4,1,3,1,-1,4,0,1,-1,1
3,0,4,2,3,1,-1,16,0,1,-1,2
3,0,4,3,3,1,-1,0,64,1,0,4
3,0,5,1,3,2,-1,5,0,1,-1,2
3,0,5,2,3,2,-1,17,0,1,-1,4
3,0,5,3,3,2,-1,79,0,1,-1,1
3,0,6,1,3,2,-1,5,0,1,-1,1
3,0,6,2,3,2,-1,17,0,1,-1,2
3,0,6,3,3,2,-1,79,0,1,-1,4
3,0,7,1,1,3,232,0,0,-1,-1,-1
3,0,7,2,1,3,-1,0,4,11,10,7
3,0,7,3,1,3,-1,0,16,22,20,7
3,1,0,1,3,1,-1,4,0,0,-1,2
3,1,0,2,3,1,-1,16,0,0,-1,4
3,1,0,3,3,1,-1,0,64,1,0,0
3,1,2,1,3,2,-1,6,0,1,-1,6
3,1,2,2,3,2,-1,24,0,0,-1,4
3,1,2,3,3,2,-1,93,0,1,-1,3
3,1,3,1,3,1,-1,6,0,0,-1,2
3,1,3,2,3,1,-1,24,0,0,-1,4
3,1,3,3,3,1,-1,98,0,2,-1,7
3,1,4,1,3,2,-1,6,0,0,-1,2
3,1,4,2,3,2,-1,24,0,1,-1,0
3,1,4,3,3,2,-1,93,0,1,-1,0
3,1,5,1,3,1,-1,8,0,0,-1,2
3,1,5,2,3,1,-1,24,0,0,-1,4
3,1,5,3,3,1,-1,96,0,2,-1,3
3,1,6,1,3,3,-1,8,0,0,-1,2
3,1,6,2,3,3,-1,28,0,0,-1,4
3,1,6,3,3,3,-1,78,0,2,-1,3
