m,a,b,k,rule,n,damaged_row,h,states,valid,same_natural,same_matched_flip,reentered
1,0,1,1,232,5,0,0,32,32,0,32,0
1,0,1,1,232,5,0,1,32,32,4,32,0
1,0,1,1,232,5,0,2,32,32,12,32,0
1,0,1,1,232,5,0,3,32,32,12,32,0
1,0,1,1,232,5,0,4,32,32,12,32,0
1,0,1,1,232,7,0,0,128,128,0,128,0
1,0,1,1,232,7,0,1,128,128,16,128,0
1,0,1,1,232,7,0,2,128,128,24,128,0
1,0,1,1,232,7,0,3,128,128,36,128,0
1,0,1,1,232,7,0,4,128,128,36,128,0
1,1,0,1,232,5,0,0,32,32,0,32,0
1,1,0,1,232,5,0,1,32,32,4,32,0
1,1,0,1,232,5,0,2,32,32,12,32,0
1,1,0,1,232,5,0,3,32,32,12,32,0
1,1,0,1,232,5,0,4,32,32,12,32,0
1,1,0,1,232,7,0,0,128,128,0,128,0
1,1,0,1,232,7,0,1,128,128,16,128,0
1,1,0,1,232,7,0,2,128,128,24,128,0
1,1,0,1,232,7,0,3,128,128,36,128,0
1,1,0,1,232,7,0,4,128,128,36,128,0
2,1,2,1,23,5,0,0,32,0,0,0,0
2,1,2,1,23,5,0,1,32,4,2,2,4
2,1,2,1,23,5,0,2,32,4,4,4,4
2,1,2,1,23,5,0,3,32,8,4,4,8
2,1,2,1,23,5,0,4,32,8,4,4,8
2,1,2,1,23,5,1,0,32,0,0,0,0
2,1,2,1,23,5,1,1,32,4,2,2,4
2,1,2,1,23,5,1,2,32,4,4,4,4
2,1,2,1,23,5,1,3,32,8,4,4,8
2,1,2,1,23,5,1,4,32,8,4,4,8
2,1,2,1,23,7,0,0,128,0,0,0,0
2,1,2,1,23,7,0,1,128,16,8,8,16
2,1,2,1,23,7,0,2,128,24,16,16,24
2,1,2,1,23,7,0,3,128,24,18,18,24
2,1,2,1,23,7,0,4,128,28,18,18,28
2,1,2,1,23,7,1,0,128,0,0,0,0
2,1,2,1,23,7,1,1,128,16,8,8,16
2,1,2,1,23,7,1,2,128,24,16,16,24
2,1,2,1,23,7,1,3,128,24,18,18,24
2,1,2,1,23,7,1,4,128,28,18,18,28
2,2,1,1,23,5,0,0,32,0,0,0,0
2,2,1,1,23,5,0,1,32,4,2,2,4
2,2,1,1,23,5,0,2,32,4,4,4,4
2,2,1,1,23,5,0,3,32,8,4,4,8
2,2,1,1,23,5,0,4,32,8,4,4,8
2,2,1,1,23,5,1,0,32,0,0,0,0
2,2,1,1,23,5,1,1,32,4,2,2,4
2,2,1,1,23,5,1,2,32,4,4,4,4
2,2,1,1,23,5,1,3,32,8,4,4,8
2,2,1,1,23,5,1,4,32,8,4,4,8
2,2,1,1,23,7,0,0,128,0,0,0,0
2,2,1,1,23,7,0,1,128,16,8,8,16
2,2,1,1,23,7,0,2,128,24,16,16,24
2,2,1,1,23,7,0,3,128,24,18,18,24
2,2,1,1,23,7,0,4,128,28,18,18,28
2,2,1,1,23,7,1,0,128,0,0,0,0
2,2,1,1,23,7,1,1,128,16,8,8,16
2,2,1,1,23,7,1,2,128,24,16,16,24
2,2,1,1,23,7,1,3,128,24,18,18,24
2,2,1,1,23,7,1,4,128,28,18,18,28
