example,mode,alpha,comp_median,comp_var,spec_median
"77,55|44,23",quenched,0.0,0.0556,2e-05,0.9885
"77,55|44,23",quenched,0.05,0.0572,3e-05,0.9854
"77,55|44,23",quenched,0.1,0.0604,4e-05,0.9748
"77,55|44,23",quenched,0.15,0.0648,7e-05,0.9711
"77,55|44,23",quenched,0.2,0.0688,0.00012,0.9666
"77,55|44,23",quenched,0.25,0.082,0.00018,0.9535
"77,55|44,23",quenched,0.3,0.0836,0.00015,0.9491
"77,55|44,23",quenched,0.35,0.0976,0.00025,0.9369
"77,55|44,23",quenched,0.4,0.1048,0.00031,0.9264
"77,55|44,23",quenched,0.45,0.112,0.00056,0.9124
"77,55|44,23",quenched,0.5,0.13,0.00478,0.9015
"77,55|44,23",quenched,0.55,0.118,0.00249,0.8801
"77,55|44,23",quenched,0.6,0.162,0.00235,0.8678
"77,55|44,23",quenched,0.65,0.18,0.0013,0.8443
"77,55|44,23",quenched,0.7,0.2092,0.00653,0.8387
"77,55|44,23",quenched,0.75,0.1868,0.00589,0.8412
"77,55|44,23",quenched,0.8,0.2796,0.00813,0.7793
"77,55|44,23",quenched,0.85,0.2804,0.00674,0.7619
"77,55|44,23",quenched,0.9,0.3556,0.01188,0.717
"77,55|44,23",quenched,0.95,0.3828,0.01127,0.6776
"77,55|44,23",quenched,1.0,0.4512,0.01372,0.5591
"77,55|44,23",annealed,0.0,0.0556,2e-05,0.9885
"77,55|44,23",annealed,0.05,0.162,0.00045,0.9157
"77,55|44,23",annealed,0.1,0.2196,0.00057,0.9096
"77,55|44,23",annealed,0.15,0.2792,0.00057,0.896
"77,55|44,23",annealed,0.2,0.3708,0.00152,0.8587
"77,55|44,23",annealed,0.25,0.4532,0.00154,0.826
"77,55|44,23",annealed,0.3,0.554,0.00145,0.7574
"77,55|44,23",annealed,0.35,0.6384,0.00166,0.703
"77,55|44,23",annealed,0.4,0.7256,0.00081,0.6416
"77,55|44,23",annealed,0.45,0.7788,0.00061,0.5878
"77,55|44,23",annealed,0.5,0.8392,0.00039,0.5315
"77,55|44,23",annealed,0.55,0.8944,0.0003,0.4552
"77,55|44,23",annealed,0.6,0.932,0.00011,0.3989
"77,55|44,23",annealed,0.65,0.9564,0.0001,0.3438
"77,55|44,23",annealed,0.7,0.9804,9e-05,0.2934
"77,55|44,23",annealed,0.75,0.9932,8e-05,0.2681
"77,55|44,23",annealed,0.8,0.9988,0.00022,0.2421
"77,55|44,23",annealed,0.85,1.0012,0.00059,0.2437
"77,55|44,23",annealed,0.9,1.0012,9e-05,0.2444
"77,55|44,23",annealed,0.95,0.9828,0.0009,0.2506
"77,55|44,23",annealed,1.0,0.4512,0.01372,0.5591
"237,93|71,221",quenched,0.0,0.0524,1e-05,0.956
"237,93|71,221",quenched,0.05,0.056,2e-05,0.939
"237,93|71,221",quenched,0.1,0.062,3e-05,0.9119
"237,93|71,221",quenched,0.15,0.064,0.00011,0.9092
"237,93|71,221",quenched,0.2,0.0736,7e-05,0.9188
"237,93|71,221",quenched,0.25,0.0808,0.00017,0.8994
"237,93|71,221",quenched,0.3,0.09,0.0002,0.9101
"237,93|71,221",quenched,0.35,0.0956,0.00032,0.9018
"237,93|71,221",quenched,0.4,0.1132,0.00031,0.8897
"237,93|71,221",quenched,0.45,0.108,0.00026,0.8957
"237,93|71,221",quenched,0.5,0.1212,0.00019,0.899
"237,93|71,221",quenched,0.55,0.1276,0.00032,0.8866
"237,93|71,221",quenched,0.6,0.1304,0.00024,0.8987
"237,93|71,221",quenched,0.65,0.1432,0.00064,0.8816
"237,93|71,221",quenched,0.7,0.16,0.00043,0.8745
"237,93|71,221",quenched,0.75,0.1696,0.00061,0.8617
"237,93|71,221",quenched,0.8,0.1976,0.00063,0.8467
"237,93|71,221",quenched,0.85,0.1864,0.00063,0.8531
"237,93|71,221",quenched,0.9,0.2312,0.00093,0.8246
"237,93|71,221",quenched,0.95,0.254,0.00104,0.8248
"237,93|71,221",quenched,1.0,0.418,0.00517,0.7331
"237,93|71,221",annealed,0.0,0.0524,1e-05,0.956
"237,93|71,221",annealed,0.05,0.3776,0.00056,0.6412
"237,93|71,221",annealed,0.1,0.5168,0.00046,0.5464
"237,93|71,221",annealed,0.15,0.6148,0.00035,0.4893
"237,93|71,221",annealed,0.2,0.6708,0.00064,0.4869
"237,93|71,221",annealed,0.25,0.714,0.0004,0.4645
"237,93|71,221",annealed,0.3,0.7548,0.00041,0.4709
"237,93|71,221",annealed,0.35,0.7748,0.00058,0.5072
"237,93|71,221",annealed,0.4,0.81,0.00076,0.4808
"237,93|71,221",annealed,0.45,0.822,0.00085,0.4798
"237,93|71,221",annealed,0.5,0.83,0.00143,0.4794
"237,93|71,221",annealed,0.55,0.8292,0.00175,0.4784
"237,93|71,221",annealed,0.6,0.8044,0.00089,0.5355
"237,93|71,221",annealed,0.65,0.7988,0.00224,0.5521
"237,93|71,221",annealed,0.7,0.8172,0.00117,0.5369
"237,93|71,221",annealed,0.75,0.7996,0.00163,0.5364
"237,93|71,221",annealed,0.8,0.7384,0.00129,0.6097
"237,93|71,221",annealed,0.85,0.6952,0.00206,0.617
"237,93|71,221",annealed,0.9,0.6724,0.00229,0.6192
"237,93|71,221",annealed,0.95,0.5744,0.00242,0.6882
"237,93|71,221",annealed,1.0,0.418,0.00517,0.7331
