dimension,name,rule,role,condition_density,R_star,M_star,S_star,reference_surprisal_mean,reference_surprisal_sd,unsupported_trajectory_symbols,baseline_logloss_bits,history_logloss_bits,train_events,test_events,mean_d1,mean_d2,median_d1,median_d2,min_d1,max_d1,min_d2,max_d2,alpha_star,extinction_fraction_t2,trials,wall_seconds,rulestring,reference_samples
1,eca-54,54,prior-core,0.5,0.4198390825952274,0.5599849231134175,0.23510355638709615,2.851716612993623,0.5853420363888655,[],0.8511421039209421,0.2911571808075247,65536,32768,49.53125,97.28125,54.5,101.5,0,105,0,194,0.9738227364424099,0.1875,32,0.27440977096557617,,
1,eca-110,110,prior-core,0.5,0.23555148478541996,0.7854392387762582,0.18501137890247762,2.7884951259216155,0.7498014965889019,[],0.97245512317952,0.1870158844032618,65536,32768,34.53125,53.03125,36.5,58.5,0,72,0,121,0.6189401952638696,0.25,32,0.2914464473724365,,
1,eca-5,5,persistence-control,0.5,0.5620283050861533,0.9840300375448031,0.5530527341551695,2.3600730651545314,1.3170488121632251,[],0.9840741897510346,4.415220623139289e-05,65536,32768,1.3125,1.3125,1.0,1.0,0,5,0,5,0.0,0.3125,32,0.2766859531402588,,
1,eca-62,62,persistence-control,0.5,0.1959713273892904,0.6775628631951617,0.132782893690044,2.7884951259216155,0.7498014965889019,[],0.7050603833803168,0.02749752018515519,65536,32768,3.375,4.3125,2.0,2.0,0,36,0,65,0.3536369546147004,0.03125,32,0.2892436981201172,,
1,eca-122,122,spreading-control,0.5,0.5725093068881087,-0.003016121129386984,0.0,2.839517877819773,0.6457757337505058,[],0.9999501677194053,1.0029662888487922,65536,32768,122.78125,249.59375,124.0,251.0,107,129,235,256,1.0234915458875993,0.0,32,0.2664351463317871,,
1,eca-126,126,spreading-control,0.5,0.5731216295227095,-0.0029771561459912554,0.0,2.25,1.299038105676658,[],1.0000394667074857,1.003016622853477,65536,32768,125.09375,251.46875,126.0,252.5,111,128,238,256,1.0073694169678182,0.0,32,0.27065014839172363,,
2,life,,complex-exemplar,0.5,-0.610930130748018,0.03609149948821938,0.0,3.429844345459687,1.015962243314102,[],0.1400909428950594,0.10399944340684003,65536,32768,8.875,13.0625,0.0,0.0,0,44,0,74,0.5576120125762007,0.6875,32,6.357232332229614,B3/S23,100000
2,highlife,,complex-exemplar,0.5,0.4023835943996052,0.08215398738451511,0.03305741673804101,3.5117977022485074,0.962005734235431,[],0.1714790346083238,0.0893250472238087,65536,32768,7.8125,11.90625,0.0,0.0,0,45,0,57,0.607862902831235,0.71875,32,6.4421398639678955,B36/S23,100000
2,day-night,,complex-exemplar,0.5,3.914694291286377,0.10749261777882463,0.4208007371741933,3.6280224022616974,0.9128376881826714,[],0.2360433590464161,0.12855074126759147,65536,32768,2.09375,3.875,0.0,0.0,0,67,0,124,0.8881071199291027,0.96875,32,6.661646604537964,B3678/S34678,100000
2,b35s236,,explosive-adversary,0.5,0.08438746945996684,0.0016334762370000533,0.00013784492606342354,3.608099499190245,0.928700478063031,[],0.9621088319912685,0.9604753557542685,65536,32768,120.65625,240.53125,129.0,257.0,0,129,0,257,0.9953216930244964,0.0625,32,8.715323448181152,B35/S236,100000
2,all-dead,,simple-control,0.5,0.0,0.0,0.0,0.0,0.0,[],1.1006763692859095e-05,1.1006763692859095e-05,65536,32768,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.0,32,5.676488399505615,B/S,100000
2,identity,,simple-control,0.5,-0.0982992267610757,0.0,0.0,3.5441639181200517,0.9405510694483311,[],2.1909510063220423e-05,2.1909510063220423e-05,65536,32768,1.0,1.0,1.0,1.0,1,1,1,1,0.0,0.0,32,8.604403257369995,B/S012345678,100000
2,complement,,simple-control,0.5,-0.0560354071799479,0.0,0.0,3.5488731631807946,0.9411860562495347,[],2.2013275466976846e-05,2.2013275466976846e-05,65536,32768,1.0,1.0,1.0,1.0,1,1,1,1,0.0,0.0,32,9.222635507583618,B012345678/S,100000
2,all-live,,simple-control,0.5,0.0,0.0,0.0,0.0,0.0,[],1.1006763692859095e-05,1.1006763692859095e-05,65536,32768,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.0,32,5.912482738494873,B012345678/S012345678,100000
1,eca-54,54,prior-core,0.3,0.3965215900964388,0.5879551909758227,0.23313692723118856,2.851716612993623,0.5853420363888655,[],0.8548587335845214,0.2669035426086986,65536,32768,40.46875,84.21875,48.5,93.0,0,101,0,202,1.0573331750659516,0.3125,32,0.25758814811706543,,
1,eca-110,110,prior-core,0.3,0.25057351124953736,0.7672225216261911,0.19224564115359882,2.7884951259216155,0.7498014965889019,[],0.9551492652855367,0.1879267436593456,65536,32768,28.78125,46.96875,28.0,46.0,0,76,0,125,0.7065719478250291,0.25,32,0.2678098678588867,,
1,eca-5,5,persistence-control,0.3,0.5714999950577356,0.977106444436146,0.5584163281661391,2.3600730651545314,1.3170488121632251,[],0.9771506183415029,4.417390535678433e-05,65536,32768,1.46875,1.46875,1.0,1.0,0,5,0,5,0.0,0.09375,32,0.26895809173583984,,
1,eca-62,62,persistence-control,0.3,0.20085916177151864,0.7765852471967497,0.15598426179606673,2.7884951259216155,0.7498014965889019,[],0.7766645908331311,7.934363638139142e-05,65536,32768,6.65625,10.34375,1.5,2.0,0,32,0,64,0.6359777865813795,0.0625,32,0.26169300079345703,,
1,eca-122,122,spreading-control,0.3,0.5782471407083353,-0.0026393464440510606,0.0,2.839517877819773,0.6457757337505058,[],1.0001208919315188,1.0027602383755698,65536,32768,119.46875,242.1875,123.5,250.0,0,129,0,256,1.0194911102143136,0.03125,32,0.27750635147094727,,
1,eca-126,126,spreading-control,0.3,0.5749618708592378,-0.003303057899515238,0.0,2.25,1.299038105676658,[],1.0000336340533726,1.0033366919528879,65536,32768,121.5,244.59375,126.0,252.0,5,128,17,255,1.0094312259328273,0.0,32,0.2754955291748047,,
2,life,,complex-exemplar,0.3,-0.6143185329710164,0.06319498359915166,0.0,3.429844345459687,1.015962243314102,[],0.14136472245277076,0.07816973885361911,65536,32768,8.15625,13.0625,0.0,0.0,0,47,0,71,0.6794531355109983,0.6875,32,6.345294952392578,B3/S23,100000
2,highlife,,complex-exemplar,0.3,0.38392678099372124,0.056293325683126505,0.021612515320953932,3.5117977022485074,0.962005734235431,[],0.11907070866922226,0.06277738298609575,65536,32768,4.5625,6.71875,0.0,0.0,0,47,0,78,0.5583682907094429,0.84375,32,6.462290525436401,B36/S23,100000
2,day-night,,complex-exemplar,0.3,4.384605124569447,0.008056002028955669,0.03532238777970089,3.6280224022616974,0.9128376881826714,[],0.01953087673822303,0.011474874709267361,65536,32768,0.3125,0.3125,0.0,0.0,0,5,0,5,0.0,0.9375,32,6.198256969451904,B3678/S34678,100000
2,b35s236,,explosive-adversary,0.3,0.08037311195048995,0.0006787272744569472,5.455142321377914e-05,3.608099499190245,0.928700478063031,[],0.9642566098279602,0.9635778825535033,65536,32768,124.3125,248.28125,128.0,256.0,0,129,0,257,0.9980039434021375,0.03125,32,8.440686225891113,B35/S236,100000
2,all-dead,,simple-control,0.3,0.0,0.0,0.0,0.0,0.0,[],1.1006763692859095e-05,1.1006763692859095e-05,65536,32768,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.0,32,6.09708833694458,B/S,100000
2,identity,,simple-control,0.3,1.0269713790861694,0.0,0.0,3.5441639181200517,0.9405510694483311,[],2.3018435293107317e-05,2.3018435293107317e-05,65536,32768,1.0,1.0,1.0,1.0,1,1,1,1,0.0,0.0,32,7.214154958724976,B/S012345678,100000
2,complement,,simple-control,0.3,1.018022440230233,0.0,0.0,3.5488731631807946,0.9411860562495347,[],2.2013275466976846e-05,2.2013275466976846e-05,65536,32768,1.0,1.0,1.0,1.0,1,1,1,1,0.0,0.0,32,8.099778890609741,B012345678/S,100000
2,all-live,,simple-control,0.3,0.0,0.0,0.0,0.0,0.0,[],1.1006763692859095e-05,1.1006763692859095e-05,65536,32768,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.0,32,5.951031446456909,B012345678/S012345678,100000
1,eca-54,54,prior-core,0.7,0.40450266048562905,0.6014446752431877,0.24328597127078458,2.851716612993623,0.5853420363888655,[],0.8489810238372675,0.24753634859407983,65536,32768,43.625,84.5,51.0,100.0,0,85,0,180,0.953796210072532,0.125,32,0.2585000991821289,,
1,eca-110,110,prior-core,0.7,0.24081082516652047,0.8545030968222551,0.2057735958531144,2.7884951259216155,0.7498014965889019,[],0.9716127801496266,0.11710968332737152,65536,32768,27.0,41.6875,21.5,43.5,0,71,0,108,0.6266554490211164,0.3125,32,0.25337910652160645,,
1,eca-5,5,persistence-control,0.7,0.5561995727959491,0.7340194987334671,0.4082613316194511,2.3600730651545314,1.3170488121632251,[],0.7340609570514308,4.145831796374905e-05,65536,32768,0.71875,0.71875,0.0,0.0,0,5,0,5,0.0,0.71875,32,0.29873132705688477,,
1,eca-62,62,persistence-control,0.7,0.18630537168046557,0.8465515043385262,0.15771709266244638,2.7884951259216155,0.7498014965889019,[],0.847940297165785,0.0013887928272587565,65536,32768,2.96875,2.9375,1.0,2.0,0,25,0,23,-0.015266756653310518,0.03125,32,0.2743113040924072,,
1,eca-122,122,spreading-control,0.7,0.5791486034658795,-0.001508821148574091,0.0,2.839517877819773,0.6457757337505058,[],1.0000123542416117,1.0015211753901858,65536,32768,115.0625,233.28125,122.0,248.0,0,128,0,254,1.019652633671997,0.0625,32,0.27341532707214355,,
1,eca-126,126,spreading-control,0.7,0.5725421492720579,-0.002577679082850448,0.0,2.25,1.299038105676658,[],1.000105232036693,1.0026829111195434,65536,32768,125.09375,251.6875,125.0,252.0,120,128,246,255,1.0086238565582155,0.0,32,0.2678346633911133,,
2,life,,complex-exemplar,0.7,-0.6455567803757505,0.043670791400896,0.0,3.429844345459687,1.015962243314102,[],0.11228447551732124,0.06861368411642524,65536,32768,8.1875,10.875,0.0,0.0,0,63,0,87,0.409520494311278,0.75,32,6.595959663391113,B3/S23,100000
2,highlife,,complex-exemplar,0.7,0.39933112271615795,0.027756059952705227,0.011083858583090769,3.5117977022485074,0.962005734235431,[],0.0852061351020089,0.05745007514930368,65536,32768,6.90625,10.625,0.0,0.0,0,39,0,62,0.6214883767462702,0.71875,32,6.451640605926514,B36/S23,100000
2,day-night,,complex-exemplar,0.7,4.1830814153254305,0.03187969260243406,0.13335534965152954,3.6280224022616974,0.9128376881826714,[],0.05268926747808709,0.020809574875653027,65536,32768,0.09375,0.09375,0.0,0.0,0,3,0,3,0.0,0.96875,32,5.945780277252197,B3678/S34678,100000
2,b35s236,,explosive-adversary,0.7,0.08746552255940754,0.0007870345822840186,6.883839101179672e-05,3.608099499190245,0.928700478063031,[],0.9617671190122044,0.9609800844299203,65536,32768,124.5,248.34375,129.0,257.0,0,129,0,257,0.9961926970226974,0.03125,32,8.581055164337158,B35/S236,100000
2,all-dead,,simple-control,0.7,0.0,0.0,0.0,0.0,0.0,[],1.1006763692859095e-05,1.1006763692859095e-05,65536,32768,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.0,32,5.7172369956970215,B/S,100000
2,identity,,simple-control,0.7,0.9921273284129218,0.0,0.0,3.5441639181200517,0.9405510694483311,[],2.2553153294720165e-05,2.2553153294720165e-05,65536,32768,1.0,1.0,1.0,1.0,1,1,1,1,0.0,0.0,32,7.874920606613159,B/S012345678,100000
2,complement,,simple-control,0.7,0.832732711617446,0.0,0.0,3.5488731631807946,0.9411860562495347,[],2.2013275466976846e-05,2.2013275466976846e-05,65536,32768,1.0,1.0,1.0,1.0,1,1,1,1,0.0,0.0,32,8.156532287597656,B012345678/S,100000
2,all-live,,simple-control,0.7,0.0,0.0,0.0,0.0,0.0,[],1.1006763692859095e-05,1.1006763692859095e-05,65536,32768,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.0,32,5.879470586776733,B012345678/S012345678,100000
