dimension,name,rule,role,condition_density,R_star,M_star,S_star,reference_surprisal_mean,reference_surprisal_sd,unsupported_trajectory_symbols,baseline_logloss_bits,history_logloss_bits,train_events,test_events,mean_d1,mean_d2,median_d1,median_d2,min_d1,max_d1,min_d2,max_d2,alpha_star,extinction_fraction_t2,trials,wall_seconds,rulestring,reference_samples
1,eca-54,54,prior-core,0.5,0.4105742845003285,0.5686594283608772,0.233476937923633,2.851716612993623,0.5853420363888655,[],0.8688178503840676,0.30015842202319026,9216,4608,18.5,34.0,17.5,26.5,0,42,0,80,0.8780094756213898,0.125,8,0.045394182205200195,,
1,eca-110,110,prior-core,0.5,0.2160218376604478,0.5872932803321024,0.1268681736629733,2.7884951259216155,0.7498014965889019,[],0.9802049101819874,0.39291162984988504,9216,4608,21.125,36.625,23.0,43.0,0,29,0,51,0.7938774181400635,0.125,8,0.04388761520385742,,
1,eca-5,5,persistence-control,0.5,0.5561995727959488,0.9548183107952153,0.5310695365620481,2.3600730651545314,1.3170488121632251,[],0.9551250303123427,0.0003067195171274279,9216,4608,0.75,0.75,0.5,0.5,0,3,0,3,0.0,0.5,8,0.044498443603515625,,
1,eca-62,62,persistence-control,0.5,0.21661084277709253,0.6866269994429237,0.14873085302283795,2.7884951259216155,0.7498014965889019,[],0.756504174073404,0.0698771746304803,9216,4608,2.5,4.25,1.0,1.0,1,13,1,25,0.765534746362977,0.0,8,0.045969486236572266,,
1,eca-122,122,spreading-control,0.5,0.5573923026506562,-0.01736369059558962,0.0,2.839517877819773,0.6457757337505058,[],1.0000663214545549,1.0174300120501445,9216,4608,43.125,89.625,44.5,91.0,35,49,83,95,1.0553767570363732,0.0,8,0.04303336143493652,,
1,eca-126,126,spreading-control,0.5,0.5694985728204383,-0.01332959302507608,0.0,2.25,1.299038105676658,[],1.0002353687909553,1.0135649618160314,9216,4608,45.5,93.0,45.5,93.0,41,48,89,96,1.031364170909335,0.0,8,0.04372596740722656,,
2,life,,complex-exemplar,0.5,-0.5734231160581483,0.02810114336491129,0.0,3.4298157002663547,1.0161168354958323,[],0.23070178799706437,0.20260064463215308,9216,4608,7.625,8.125,0.0,0.0,0,29,0,33,0.09163047546556834,0.625,8,0.47609758377075195,B3/S23,20000
2,highlife,,complex-exemplar,0.5,0.3596852353008386,0.03268838300854543,0.011757528734032598,3.517029925447591,0.9469355819177703,[],0.2666688008517603,0.23398041784321488,9216,4608,10.125,11.125,0.0,0.0,0,33,0,37,0.13588342808177303,0.625,8,0.46735548973083496,B36/S23,20000
2,day-night,,complex-exemplar,0.5,3.5812560583002555,0.09890048394675305,0.3541879573031365,3.6265268729083986,0.9162948470617556,[],0.308652285430018,0.20975180148326494,9216,4608,11.25,16.375,0.0,0.0,0,38,0,60,0.5415699052077755,0.625,8,0.5315241813659668,B3678/S34678,20000
2,b35s236,,explosive-adversary,0.5,0.09456816272740194,-0.006180889800543099,0.0,3.609679940348134,0.927091054164889,[],0.9602501057816153,0.9664309955821584,9216,4608,48.875,96.75,49.0,97.0,48,49,96,97,0.9851649588370581,0.0,8,0.5852744579315186,B35/S236,20000
2,all-dead,,simple-control,0.5,0.0,0.0,0.0,0.0,0.0,[],7.826484613565745e-05,7.826484613565745e-05,9216,4608,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.0,8,0.47324538230895996,B/S,20000
2,identity,,simple-control,0.5,-0.05685539483872519,0.0,0.0,3.542433002656302,0.9349232294047779,[],0.00015699260292691855,0.00015699260292691855,9216,4608,1.0,1.0,1.0,1.0,1,1,1,1,0.0,0.0,8,0.5564267635345459,B/S012345678,20000
2,complement,,simple-control,0.5,0.027903127243292993,0.0,0.0,3.537917367418184,0.9367753161310425,[],0.00015651695604059984,0.00015651695604059984,9216,4608,1.0,1.0,1.0,1.0,1,1,1,1,0.0,0.0,8,0.5298447608947754,B012345678/S,20000
2,all-live,,simple-control,0.5,0.0,0.0,0.0,0.0,0.0,[],7.826484613565745e-05,7.826484613565745e-05,9216,4608,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.0,8,0.46821069717407227,B012345678/S012345678,20000
