dimension,name,rule,role,condition_density,R_star,M_star,S_star,reference_surprisal_mean,reference_surprisal_sd,unsupported_trajectory_symbols,baseline_logloss_bits,history_logloss_bits,train_events,test_events,mean_d1,mean_d2,median_d1,median_d2,min_d1,max_d1,min_d2,max_d2,alpha_star,extinction_fraction_t2,trials,wall_seconds,rulestring,reference_samples
1,eca-54,54,prior-core,0.5,0.28761492123451704,0.4769465363572208,0.13717694048745777,2.851716612993623,0.5853420363888655,[],0.9015324643491587,0.4245859279919379,768,384,7.0,14.0,7.0,14.0,0,14,0,28,1.0,0.5,2,0.01298379898071289,,
1,eca-110,110,prior-core,0.5,0.22970564940701976,0.19720103674415324,0.04529819220905328,2.7884951259216155,0.7498014965889019,[],0.9478547598056778,0.7506537230615246,768,384,9.0,16.0,9.0,16.0,5,13,9,23,0.8300749985576875,0.0,2,0.010921239852905273,,
1,eca-5,5,persistence-control,0.5,0.5153984467645171,1.0266789548440318,0.5291487386524317,2.3600730651545314,1.3170488121632251,[],1.030524845102727,0.0038458902586950175,768,384,2.0,2.0,2.0,2.0,1,3,1,3,0.0,0.0,2,0.010165214538574219,,
1,eca-62,62,persistence-control,0.5,0.23642365043152497,0.6658492666227259,0.1574225142520986,2.7884951259216155,0.7498014965889019,[],0.7925344392194008,0.12668517259667486,768,384,4.0,4.0,4.0,4.0,2,6,1,7,0.0,0.0,2,0.009308576583862305,,
1,eca-122,122,spreading-control,0.5,0.5523842741859333,-0.14163197578762032,0.0,2.839517877819773,0.6457757337505058,[],1.0065016728546798,1.1481336486423002,768,384,16.0,31.0,16.0,31.0,15,17,29,33,0.9541963103868752,0.0,2,0.009951591491699219,,
1,eca-126,126,spreading-control,0.5,0.5506210900604763,-0.22167871507182968,0.0,2.25,1.299038105676658,[],0.9992256209550067,1.2209043360268363,768,384,16.0,31.5,16.0,31.5,16,16,31,32,0.9772799234999164,0.0,2,0.010028600692749023,,
2,life,,complex-exemplar,0.5,-0.4791593063971429,0.011413024632437707,0.0,3.4396336659964586,1.028437455204705,[],0.3480775065693127,0.336664481936875,768,384,7.5,12.0,7.5,12.0,0,15,0,24,0.6780719051126377,0.5,2,0.0646357536315918,B3/S23,4000
2,highlife,,complex-exemplar,0.5,0.09566941051344302,-0.04441420886158287,0.0,3.5014466243386804,0.9526820674509333,[],0.5044029838353107,0.5488171926968936,768,384,6.0,12.0,6.0,12.0,0,12,0,24,1.0,0.5,2,0.06463479995727539,B36/S23,2000
2,day-night,,complex-exemplar,0.5,1.8191626612948077,0.07303060936667372,0.13285455769145968,3.595039374397155,0.910737700575029,[],0.840617380554744,0.7675867711880703,768,384,8.0,14.0,8.0,14.0,0,16,0,28,0.8073549220576041,0.5,2,0.06830859184265137,B3678/S34678,2000
2,b35s236,,explosive-adversary,0.5,0.18357461186823346,-0.1109459162577634,0.0,3.5779128532321502,0.9146755778655705,[],0.9583142765695091,1.0692601928272725,768,384,17.0,33.0,17.0,33.0,17,17,33,33,0.9569312781081141,0.0,2,0.06600260734558105,B35/S236,2000
2,all-dead,,simple-control,0.5,0.0,0.0,0.0,0.0,0.0,[],0.0009383382710552885,0.0009383382710552885,768,384,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.0,2,0.06155705451965332,B/S,2000
2,identity,,simple-control,0.5,0.1090294145578172,0.0,0.0,3.54815539717234,0.9752169676631469,[],0.001867495418064269,0.001867495418064269,768,384,1.0,1.0,1.0,1.0,1,1,1,1,0.0,0.0,2,0.06490921974182129,B/S012345678,2000
2,complement,,simple-control,0.5,-0.08818058409828397,0.0,0.0,3.539651751342713,0.9513210330488698,[],0.001874847620437107,0.001874847620437107,768,384,1.0,1.0,1.0,1.0,1,1,1,1,0.0,0.0,2,0.061670541763305664,B012345678/S,2000
2,all-live,,simple-control,0.5,0.0,0.0,0.0,0.0,0.0,[],0.0009383382710552885,0.0009383382710552885,768,384,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.0,2,0.06084012985229492,B012345678/S012345678,2000
