n,projection,block,stride,ensemble,test_kind,test_seed,model,depth,radius,detector,region,samples,errors,seen,supported,supported_errors,baseline_errors,fixed,broken
420,parity,2,2,1,random,301,history,0,1,r3-7,background,44202,8665,44202,44202,8665,8665,0,0
420,parity,2,2,1,random,301,history,0,1,r3-7,ambiguous,15516,3178,15516,15516,3178,3178,0,0
420,parity,2,2,1,random,301,history,0,1,r3-7,departure,46542,14975,46542,46542,14975,14975,0,0
420,parity,2,2,1,random,301,history,0,1,r3-7,all,106260,26818,106260,106260,26818,26818,0,0
420,parity,2,2,1,random,301,history,0,1,r7-14,background,26287,4884,26287,26287,4884,4884,0,0
420,parity,2,2,1,random,301,history,0,1,r7-14,ambiguous,17915,3781,17915,17915,3781,3781,0,0
420,parity,2,2,1,random,301,history,0,1,r7-14,departure,62058,18153,62058,62058,18153,18153,0,0
420,parity,2,2,1,random,301,history,0,1,r7-14,all,106260,26818,106260,106260,26818,26818,0,0
420,parity,2,2,1,random,302,history,0,1,r3-7,background,43949,8001,43949,43949,8001,8001,0,0
420,parity,2,2,1,random,302,history,0,1,r3-7,ambiguous,14994,3107,14994,14994,3107,3107,0,0
420,parity,2,2,1,random,302,history,0,1,r3-7,departure,47317,15156,47317,47317,15156,15156,0,0
420,parity,2,2,1,random,302,history,0,1,r3-7,all,106260,26264,106260,106260,26264,26264,0,0
420,parity,2,2,1,random,302,history,0,1,r7-14,background,25242,4221,25242,25242,4221,4221,0,0
420,parity,2,2,1,random,302,history,0,1,r7-14,ambiguous,18707,3780,18707,18707,3780,3780,0,0
420,parity,2,2,1,random,302,history,0,1,r7-14,departure,62311,18263,62311,62311,18263,18263,0,0
420,parity,2,2,1,random,302,history,0,1,r7-14,all,106260,26264,106260,106260,26264,26264,0,0
420,parity,2,2,1,random,303,history,0,1,r3-7,background,48097,8452,48097,48097,8452,8452,0,0
420,parity,2,2,1,random,303,history,0,1,r3-7,ambiguous,14820,2990,14820,14820,2990,2990,0,0
420,parity,2,2,1,random,303,history,0,1,r3-7,departure,43343,14040,43343,43343,14040,14040,0,0
420,parity,2,2,1,random,303,history,0,1,r3-7,all,106260,25482,106260,106260,25482,25482,0,0
420,parity,2,2,1,random,303,history,0,1,r7-14,background,28352,4249,28352,28352,4249,4249,0,0
420,parity,2,2,1,random,303,history,0,1,r7-14,ambiguous,19745,4203,19745,19745,4203,4203,0,0
420,parity,2,2,1,random,303,history,0,1,r7-14,departure,58163,17030,58163,58163,17030,17030,0,0
420,parity,2,2,1,random,303,history,0,1,r7-14,all,106260,25482,106260,106260,25482,25482,0,0
420,parity,2,2,1,random,304,history,0,1,r3-7,background,50024,9899,50024,50024,9899,9899,0,0
420,parity,2,2,1,random,304,history,0,1,r3-7,ambiguous,13522,2908,13522,13522,2908,2908,0,0
420,parity,2,2,1,random,304,history,0,1,r3-7,departure,42714,14023,42714,42714,14023,14023,0,0
420,parity,2,2,1,random,304,history,0,1,r3-7,all,106260,26830,106260,106260,26830,26830,0,0
420,parity,2,2,1,random,304,history,0,1,r7-14,background,32015,6086,32015,32015,6086,6086,0,0
420,parity,2,2,1,random,304,history,0,1,r7-14,ambiguous,18009,3813,18009,18009,3813,3813,0,0
420,parity,2,2,1,random,304,history,0,1,r7-14,departure,56236,16931,56236,56236,16931,16931,0,0
420,parity,2,2,1,random,304,history,0,1,r7-14,all,106260,26830,106260,106260,26830,26830,0,0
420,parity,2,2,1,random,305,history,0,1,r3-7,background,59207,14924,59207,59207,14924,14924,0,0
420,parity,2,2,1,random,305,history,0,1,r3-7,ambiguous,10640,2324,10640,10640,2324,2324,0,0
420,parity,2,2,1,random,305,history,0,1,r3-7,departure,36413,12211,36413,36413,12211,12211,0,0
420,parity,2,2,1,random,305,history,0,1,r3-7,all,106260,29459,106260,106260,29459,29459,0,0
420,parity,2,2,1,random,305,history,0,1,r7-14,background,44609,11457,44609,44609,11457,11457,0,0
420,parity,2,2,1,random,305,history,0,1,r7-14,ambiguous,14598,3467,14598,14598,3467,3467,0,0
420,parity,2,2,1,random,305,history,0,1,r7-14,departure,47053,14535,47053,47053,14535,14535,0,0
420,parity,2,2,1,random,305,history,0,1,r7-14,all,106260,29459,106260,106260,29459,29459,0,0
420,parity,2,2,1,random,306,history,0,1,r3-7,background,53867,13434,53867,53867,13434,13434,0,0
420,parity,2,2,1,random,306,history,0,1,r3-7,ambiguous,11966,2534,11966,11966,2534,2534,0,0
420,parity,2,2,1,random,306,history,0,1,r3-7,departure,40427,13619,40427,40427,13619,13619,0,0
420,parity,2,2,1,random,306,history,0,1,r3-7,all,106260,29587,106260,106260,29587,29587,0,0
420,parity,2,2,1,random,306,history,0,1,r7-14,background,39188,9868,39188,39188,9868,9868,0,0
420,parity,2,2,1,random,306,history,0,1,r7-14,ambiguous,14679,3566,14679,14679,3566,3566,0,0
420,parity,2,2,1,random,306,history,0,1,r7-14,departure,52393,16153,52393,52393,16153,16153,0,0
420,parity,2,2,1,random,306,history,0,1,r7-14,all,106260,29587,106260,106260,29587,29587,0,0
420,parity,2,2,1,random,307,history,0,1,r3-7,background,53545,10171,53545,53545,10171,10171,0,0
420,parity,2,2,1,random,307,history,0,1,r3-7,ambiguous,12280,2601,12280,12280,2601,2601,0,0
420,parity,2,2,1,random,307,history,0,1,r3-7,departure,40435,13702,40435,40435,13702,13702,0,0
420,parity,2,2,1,random,307,history,0,1,r3-7,all,106260,26474,106260,106260,26474,26474,0,0
420,parity,2,2,1,random,307,history,0,1,r7-14,background,36699,6467,36699,36699,6467,6467,0,0
420,parity,2,2,1,random,307,history,0,1,r7-14,ambiguous,16846,3704,16846,16846,3704,3704,0,0
420,parity,2,2,1,random,307,history,0,1,r7-14,departure,52715,16303,52715,52715,16303,16303,0,0
420,parity,2,2,1,random,307,history,0,1,r7-14,all,106260,26474,106260,106260,26474,26474,0,0
420,parity,2,2,1,random,308,history,0,1,r3-7,background,52263,11586,52263,52263,11586,11586,0,0
420,parity,2,2,1,random,308,history,0,1,r3-7,ambiguous,12477,2555,12477,12477,2555,2555,0,0
420,parity,2,2,1,random,308,history,0,1,r3-7,departure,41520,13270,41520,41520,13270,13270,0,0
420,parity,2,2,1,random,308,history,0,1,r3-7,all,106260,27411,106260,106260,27411,27411,0,0
420,parity,2,2,1,random,308,history,0,1,r7-14,background,37333,8328,37333,37333,8328,8328,0,0
420,parity,2,2,1,random,308,history,0,1,r7-14,ambiguous,14930,3258,14930,14930,3258,3258,0,0
420,parity,2,2,1,random,308,history,0,1,r7-14,departure,53997,15825,53997,53997,15825,15825,0,0
420,parity,2,2,1,random,308,history,0,1,r7-14,all,106260,27411,106260,106260,27411,27411,0,0
