regime,rule_a,rule_b,concentration
structured,43,139,0.9808
structured,54,117,0.9718
structured,94,103,0.9823
structured,8,163,0.9797
structured,217,242,0.973
structured,182,245,0.9799
structured,38,44,0.9755
structured,8,198,0.9743
structured,135,184,0.7252
structured,221,244,0.9735
structured,7,76,0.9389
structured,195,214,0.7101
structured,66,235,0.6628
structured,85,192,0.9543
structured,59,148,0.6231
structured,123,247,0.9718
structured,79,188,0.9411
structured,79,252,0.9521
structured,116,226,0.6784
structured,119,207,0.975
structured,92,184,0.9741
structured,148,245,0.9794
structured,114,121,0.9818
structured,76,114,0.9833
structured,6,56,0.9278
structured,7,227,0.9741
structured,81,138,0.9872
structured,85,183,0.9798
structured,24,233,0.6197
structured,83,147,0.9743
structured,134,242,0.951
structured,175,207,0.9736
structured,112,145,0.9833
structured,95,148,0.9434
structured,94,155,0.8799
structured,97,160,0.9452
structured,33,218,1.0
structured,175,199,0.9415
structured,38,134,0.9663
structured,74,77,0.8556
structured,86,179,0.9727
structured,111,199,1.0
structured,137,245,0.9791
structured,12,90,0.7459
structured,46,94,0.9829
structured,27,207,0.98
structured,135,161,0.9743
structured,93,169,0.9593
structured,203,243,0.9713
structured,24,122,0.9827
structured,28,171,0.9509
structured,8,33,0.9831
structured,80,179,0.9694
structured,118,174,0.5702
structured,57,249,0.9734
structured,215,253,0.9744
structured,139,150,0.4157
structured,14,16,0.9724
structured,67,221,0.9796
noisy,122,200,0.0695
noisy,133,146,0.4617
noisy,152,166,0.5177
noisy,28,169,0.6772
noisy,137,226,0.0628
noisy,120,250,0.0618
noisy,15,120,0.069
noisy,51,214,0.6356
noisy,124,188,0.057
noisy,124,163,0.064
noisy,163,165,0.0579
noisy,199,225,0.2035
noisy,103,135,0.0572
noisy,182,212,0.3711
noisy,183,193,0.197
noisy,125,139,0.2381
noisy,78,82,0.6331
noisy,118,124,0.0603
noisy,155,161,0.2391
noisy,121,157,0.6851
noisy,181,192,0.0605
noisy,107,150,0.0567
noisy,122,232,0.067
noisy,62,173,0.0577
noisy,97,108,0.3407
noisy,154,184,0.3017
noisy,121,184,0.8376
noisy,108,133,0.0824
noisy,182,218,0.0582
noisy,110,210,0.4964
noisy,28,131,0.0555
noisy,145,150,0.0567
noisy,154,166,0.0578
noisy,114,230,0.4289
noisy,154,183,0.1301
noisy,124,183,0.093
noisy,130,169,0.1796
noisy,82,105,0.0557
noisy,35,180,0.0716
noisy,83,104,0.0692
noisy,41,110,0.3746
noisy,60,172,0.063
noisy,72,217,0.194
noisy,88,203,0.6654
noisy,78,138,0.3866
noisy,113,153,0.0566
noisy,136,185,0.0635
noisy,181,195,0.0568
noisy,75,177,0.1321
noisy,124,198,0.1768
noisy,54,57,0.0603
noisy,122,225,0.1559
noisy,66,86,0.5004
noisy,31,135,0.2105
noisy,110,118,0.0959
noisy,33,62,0.061
noisy,149,167,0.0572
noisy,54,72,0.0963
noisy,97,229,0.0577
noisy,73,227,0.242
crystalline,127,176,1.0
crystalline,36,133,1.0
crystalline,123,222,1.0
crystalline,65,134,1.0
crystalline,76,122,1.0
crystalline,36,143,0.9744
