rule,class,projection,block,stride,e0,e1,e2,e3,coverage_h3,repair_h3
0,I,parity,2,2,0.0,0.0,0.0,0.0,1.0,
0,I,parity,4,4,0.0,0.0,0.0,0.0,1.0,
8,I,parity,2,2,0.0,0.0,0.0,0.0,1.0,
8,I,parity,4,4,0.0,0.0,0.0,0.0,1.0,
32,I,parity,2,2,0.0,0.0,0.0,0.0,1.0,
32,I,parity,4,4,0.0,0.0,0.0,0.0,1.0,
40,I,parity,2,2,0.0,0.0,0.0,0.0,1.0,
40,I,parity,4,4,0.0,0.0,0.0,0.0,1.0,
128,I,parity,2,2,0.0,0.0,0.0,0.0,1.0,
128,I,parity,4,4,0.0,0.0,0.0,0.0,1.0,
136,I,parity,2,2,0.0,0.0,0.0,0.0,1.0,
136,I,parity,4,4,0.0,0.0,0.0,0.0,1.0,
160,I,parity,2,2,0.0,0.0,0.0,0.0,1.0,
160,I,parity,4,4,0.0,0.0,0.0,0.0,1.0,
168,I,parity,2,2,0.0,0.0,0.0,0.0,1.0,
168,I,parity,4,4,0.0,0.0,0.0,0.0,1.0,
1,II,parity,2,2,0.0,0.0,0.0,0.0,1.0,
1,II,parity,4,4,0.0,0.0,0.0,0.0,1.0,
2,II,parity,2,2,0.0,0.0,0.006666666666666667,0.006666666666666667,0.9866666666666667,
2,II,parity,4,4,0.0,0.0,0.0,0.0,1.0,
3,II,parity,2,2,0.26666666666666666,0.0,0.0,0.0,0.9966666666666667,1.0
3,II,parity,4,4,0.3867047619047619,0.006666666666666667,0.04,0.1,0.8200000000000001,0.7414047877056448
4,II,parity,2,2,0.0,0.0,0.0,0.0,1.0,
4,II,parity,4,4,0.0,0.0,0.0,0.0,1.0,
5,II,parity,2,2,0.0,0.0,0.0,0.0,1.0,
5,II,parity,4,4,0.0,0.0,0.0,0.0,1.0,
6,II,parity,2,2,0.0,0.0,0.01,0.023333333333333334,0.9733333333333334,
6,II,parity,4,4,0.0,0.0,0.0,0.006666666666666667,0.94,
7,II,parity,2,2,0.14666666666666667,0.0,0.0016666666666666668,0.0016714697406340058,0.9933429394812681,0.9886036154047682
7,II,parity,4,4,0.2534095238095238,0.01,0.01996146435452794,0.04,0.9,0.8421527360192423
9,II,parity,2,2,0.0,0.0,0.0,0.0,1.0,
9,II,parity,4,4,0.0,0.0,0.02,0.05333333333333334,0.9333333333333333,
10,II,parity,2,2,0.0,0.0,0.0,0.0,1.0,
10,II,parity,4,4,0.0,0.0,0.0,0.0,1.0,
11,II,parity,2,2,0.0,0.0,0.0,0.023333333333333334,0.97,
11,II,parity,4,4,0.0,0.02,0.03333333333333333,0.10666666666666667,0.8733333333333333,
12,II,parity,2,2,0.0,0.0,0.0,0.0,1.0,
12,II,parity,4,4,0.0,0.0,0.0,0.0,1.0,
13,II,parity,2,2,0.0,0.0,0.0,0.0,1.0,
13,II,parity,4,4,0.0,0.0,0.0,0.0,1.0,
14,II,parity,2,2,0.07666666666666666,0.01,0.016666666666666666,0.03,0.95,0.6086956521739131
14,II,parity,4,4,0.12666666666666668,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.96,0.9473684210526315
15,II,parity,2,2,0.0,0.0,0.0,0.0,1.0,
15,II,parity,4,4,0.0,0.0,0.0,0.0,1.0,
19,II,parity,2,2,0.0,0.0,0.0,0.0,1.0,
19,II,parity,4,4,0.0,0.0,0.0,0.0,1.0,
23,II,parity,2,2,0.0,0.0,0.0,0.0,1.0,
23,II,parity,4,4,0.0,0.0,0.0,0.0,1.0,
24,II,parity,2,2,0.0,0.0,0.0,0.01,0.98,
24,II,parity,4,4,0.0,0.0,0.013333333333333334,0.02666666666666667,0.92,
25,II,parity,2,2,0.15181904761904763,0.00014326647564469913,0.0035344827586206895,0.005235350624399616,0.9845725264169068,0.9655158512287837
25,II,parity,4,4,0.3004952380952381,0.050229885057471266,0.057572254335260115,0.07782945736434109,0.8415116279069768,0.740996037548941
26,II,parity,2,2,0.2899809523809524,0.31918815663801337,0.31833333333333336,0.3925264169068204,0.807492795389049,-0.35362827690541704
26,II,parity,4,4,0.12666666666666668,0.16666666666666666,0.21329479768786128,0.3333333333333333,0.5766666666666667,-1.6315789473684206
27,II,parity,2,2,0.375,0.0,0.0,0.0033333333333333335,0.9950048030739673,0.991111111111111
27,II,parity,4,4,0.4299428571428571,0.0,0.020077071290944125,0.06666666666666667,0.8666666666666667,0.8449406344143187
28,II,parity,2,2,0.0,0.0,0.0,0.0,1.0,
28,II,parity,4,4,0.0,0.0,0.0,0.0,1.0,
29,II,parity,2,2,0.0,0.0,0.0,0.0,1.0,
29,II,parity,4,4,0.0,0.0,0.0,0.0,1.0,
33,II,parity,2,2,0.0,0.0,0.0,0.0,1.0,
33,II,parity,4,4,0.0,0.0,0.0,0.0,1.0,
34,II,parity,2,2,0.0,0.0,0.0033333333333333335,0.023333333333333334,0.9733333333333334,
34,II,parity,4,4,0.0,0.0,0.0,0.02,0.9733333333333334,
35,II,parity,2,2,0.18833333333333332,0.0,0.0,0.0016714697406340058,0.996657060518732,0.9911249394302619
35,II,parity,4,4,0.3435047619047619,0.0,0.0,0.05333333333333334,0.8633333333333333,0.8447377176444494
36,II,parity,2,2,0.0,0.0,0.0,0.0,1.0,
36,II,parity,4,4,0.0,0.0,0.0,0.0,1.0,
37,II,parity,2,2,0.0,0.0,0.0,0.0,1.0,
37,II,parity,4,4,0.0,0.0,0.0,0.0,1.0,
38,II,parity,2,2,0.0,0.0,0.0,0.0,1.0,
38,II,parity,4,4,0.0,0.0,0.0,0.04666666666666667,0.9333333333333333,
41,II,parity,2,2,0.05275238095238095,0.0347468958930277,0.02907088122605364,0.025658021133525458,0.9998078770413065,0.5136139702075875
41,II,parity,4,4,0.1620952380952381,0.11578544061302681,0.11267822736030829,0.16271317829457366,0.9098449612403101,-0.0038122045199902306
42,II,parity,2,2,0.0,0.0,0.0,0.0,1.0,
42,II,parity,4,4,0.0,0.0,0.03333333333333333,0.03333333333333333,0.9466666666666667,
43,II,parity,2,2,0.09,0.0,0.03333333333333333,0.06333333333333334,0.91,0.2962962962962962
43,II,parity,4,4,0.08,0.0,0.006666666666666667,0.006666666666666667,0.9666666666666667,0.9166666666666666
44,II,parity,2,2,0.0,0.0,0.0,0.0,1.0,
44,II,parity,4,4,0.0,0.0,0.0,0.0,1.0,
