rule,class,projection,block,stride,e0,e1,e2,e3,e4,coverage_h4,repair_h4,raw_compression
0,I,majority,3,1,0.0,0.0,0.0,0.0,0.0,1.0,,0.002157894736842105
1,II,majority,3,1,0.135,0.0,0.0,0.0,0.0,1.0,1.0,0.008947368421052631
2,II,majority,3,1,0.0,0.0,0.0,0.0,0.0,1.0,,0.05
3,II,majority,3,1,0.23167272727272728,0.16172131147540983,0.10083029197080293,0.061654478976234,0.029166666666666667,0.9741666666666666,0.8741040129754617,0.11157894736842106
4,II,majority,3,1,0.0,0.0,0.0,0.0,0.0,0.995,,0.006105263157894737
5,II,majority,3,1,0.2725,0.0,0.0,0.0,0.0,1.0,1.0,0.009842105263157895
6,II,majority,3,1,0.17830909090909092,0.1475591985428051,0.12666970802919708,0.04836380255941499,0.0525,0.9925,0.7055674518201286,0.08310526315789474
7,II,majority,3,1,0.07331818181818182,0.06170309653916211,0.062472627737226276,0.06746800731261426,0.0033333333333333335,0.9933333333333333,0.9545360611696633,0.097
8,I,majority,3,1,0.0,0.0,0.0,0.0,0.0,1.0,,0.002157894736842105
9,II,majority,3,1,0.08749090909090909,0.08748633879781421,0.09168795620437956,0.016691042047531992,0.016666666666666666,1.0,0.8095040177334442,0.0891578947368421
10,II,majority,3,1,0.12336363636363637,0.0,0.0,0.0,0.0,1.0,1.0,0.06278947368421052
11,II,majority,3,1,0.2650181818181818,0.12666666666666668,0.0,0.007513711151736746,0.03,0.94,0.8868002195389681,0.09473684210526316
12,II,majority,3,1,0.0,0.0,0.0,0.0,0.0,1.0,,0.0064736842105263155
13,II,majority,3,1,0.0,0.0,0.0,0.0,0.0,1.0,,0.005947368421052632
14,II,majority,3,1,0.1017,0.08248633879781421,0.054187956204379564,0.056672760511883,0.06583333333333333,0.8683333333333334,0.35267125532612265,0.06447368421052632
15,II,majority,3,1,0.2833090909090909,0.290792349726776,0.027454379562043794,0.05579524680073126,0.0875,0.825,0.6911500449236299,0.11036842105263157
16,II,majority,3,1,0.0,0.0,0.0,0.0,0.0,1.0,,0.05221052631578947
17,II,majority,3,1,0.23170909090909092,0.15427140255009109,0.10670620437956205,0.053345521023765996,0.03166666666666667,0.9741666666666666,0.8633343795773174,0.11021052631578947
18,III,majority,3,1,0.13241818181818182,0.12466302367941712,0.11277372262773723,0.11051188299817184,0.1039010989010989,0.9998260073260073,0.21535624885892635,0.6523157894736842
19,II,majority,3,1,0.0,0.0,0.0,0.0,0.0,1.0,,0.009526315789473685
20,II,majority,3,1,0.1682909090909091,0.13750455373406192,0.13500912408759125,0.045018281535649,0.049166666666666664,0.9866666666666667,0.7078471622010948,0.08442105263157895
21,II,majority,3,1,0.06837272727272728,0.06166666666666667,0.05832116788321168,0.05915904936014625,0.0,1.0,1.0,0.09894736842105263
22,III,majority,3,1,0.2985090909090909,0.15101092896174864,0.1259124087591241,0.08191042047531992,0.06100732600732601,0.9999358974358974,0.7956265726396071,0.8819473684210526
23,II,majority,3,1,0.0,0.0,0.0,0.0,0.0,1.0,,0.008947368421052631
24,II,majority,3,1,0.0,0.0,0.0,0.0,0.0,1.0,,0.057105263157894735
25,II,majority,3,1,0.12453636363636364,0.019499089253187614,0.011961678832116789,0.011837294332723949,0.00013736263736263736,0.9997252747252747,0.9988970078027674,0.09073684210526316
26,II,majority,3,1,0.34014545454545453,0.2768670309653916,0.22119525547445257,0.16419561243144423,0.1366849816849817,0.853956043956044,0.5981572593182599,0.1013157894736842
27,II,majority,3,1,0.0716,0.05995446265938069,0.05667883211678832,0.05837294332723949,0.0,1.0,1.0,0.12142105263157894
28,II,majority,3,1,0.215,0.0,0.0,0.0,0.0,1.0,1.0,0.008526315789473684
29,II,majority,3,1,0.27,0.0,0.0,0.0,0.0,1.0,1.0,0.010105263157894737
30,III,majority,3,1,0.30886363636363634,0.26662112932604737,0.19796532846715328,0.1526234003656307,0.12519230769230769,0.999459706959707,0.5946680251316013,1.000842105263158
31,II,majority,3,1,0.06997272727272727,0.05914389799635701,0.05920620437956205,0.06255027422303473,0.0008333333333333334,0.9991666666666666,0.9880905980685115,0.09336842105263157
