A,B,dispatch,trace,K,shift,useful_inheritance,cases,same_task_map,sum_uncompiled,sum_frozen,sum_replace,sum_revisable,revision_win_uncompiled,revision_tie_uncompiled,revision_loss_uncompiled,revision_win_frozen,revision_tie_frozen,revision_loss_frozen,revision_win_replace,revision_tie_replace,revision_loss_replace
0,51,0,0,1,unchanged,0,16,16,180,308,308,308,0,0,16,0,16,0,0,16,0
0,51,0,0,1,one_edit,0,64,40,720,1232,1232,1232,0,0,64,0,64,0,0,64,0
0,51,0,0,1,far,0,176,70,1980,3388,3388,3388,0,0,176,0,176,0,0,176,0
0,51,0,0,4,unchanged,0,16,16,240,368,368,368,0,0,16,0,16,0,0,16,0
0,51,0,0,4,one_edit,0,64,40,960,1472,1472,1472,0,0,64,0,64,0,0,64,0
0,51,0,0,4,far,0,176,70,2640,4048,4048,4048,0,0,176,0,176,0,0,176,0
0,51,0,0,16,unchanged,0,16,16,480,608,608,608,0,0,16,0,16,0,0,16,0
0,51,0,0,16,one_edit,0,64,40,1920,2432,2432,2432,0,0,64,0,64,0,0,64,0
0,51,0,0,16,far,0,176,70,5280,6688,6688,6688,0,0,176,0,176,0,0,176,0
0,51,0,2,1,unchanged,0,16,16,180,308,308,340,0,0,16,0,0,16,0,0,16
0,51,0,2,1,one_edit,0,64,40,720,1232,1232,1360,0,0,64,0,0,64,0,0,64
0,51,0,2,1,far,0,176,70,1980,3388,3388,3740,0,0,176,0,0,176,0,0,176
0,51,0,2,4,unchanged,0,16,16,240,368,368,400,0,0,16,0,0,16,0,0,16
0,51,0,2,4,one_edit,0,64,40,960,1472,1472,1600,0,0,64,0,0,64,0,0,64
0,51,0,2,4,far,0,176,70,2640,4048,4048,4400,0,0,176,0,0,176,0,0,176
0,51,0,2,16,unchanged,0,16,16,480,608,608,640,0,0,16,0,0,16,0,0,16
0,51,0,2,16,one_edit,0,64,40,1920,2432,2432,2560,0,0,64,0,0,64,0,0,64
0,51,0,2,16,far,0,176,70,5280,6688,6688,7040,0,0,176,0,0,176,0,0,176
0,51,0,4,1,unchanged,0,16,16,180,308,308,372,0,0,16,0,0,16,0,0,16
0,51,0,4,1,one_edit,0,64,40,720,1232,1232,1488,0,0,64,0,0,64,0,0,64
0,51,0,4,1,far,0,176,70,1980,3388,3388,4092,0,0,176,0,0,176,0,0,176
0,51,0,4,4,unchanged,0,16,16,240,368,368,432,0,0,16,0,0,16,0,0,16
0,51,0,4,4,one_edit,0,64,40,960,1472,1472,1728,0,0,64,0,0,64,0,0,64
0,51,0,4,4,far,0,176,70,2640,4048,4048,4752,0,0,176,0,0,176,0,0,176
0,51,0,4,16,unchanged,0,16,16,480,608,608,672,0,0,16,0,0,16,0,0,16
0,51,0,4,16,one_edit,0,64,40,1920,2432,2432,2688,0,0,64,0,0,64,0,0,64
0,51,0,4,16,far,0,176,70,5280,6688,6688,7392,0,0,176,0,0,176,0,0,176
0,51,0,8,1,unchanged,0,16,16,180,308,308,436,0,0,16,0,0,16,0,0,16
0,51,0,8,1,one_edit,0,64,40,720,1232,1232,1744,0,0,64,0,0,64,0,0,64
0,51,0,8,1,far,0,176,70,1980,3388,3388,4796,0,0,176,0,0,176,0,0,176
0,51,0,8,4,unchanged,0,16,16,240,368,368,496,0,0,16,0,0,16,0,0,16
0,51,0,8,4,one_edit,0,64,40,960,1472,1472,1984,0,0,64,0,0,64,0,0,64
0,51,0,8,4,far,0,176,70,2640,4048,4048,5456,0,0,176,0,0,176,0,0,176
0,51,0,8,16,unchanged,0,16,16,480,608,608,736,0,0,16,0,0,16,0,0,16
0,51,0,8,16,one_edit,0,64,40,1920,2432,2432,2944,0,0,64,0,0,64,0,0,64
0,51,0,8,16,far,0,176,70,5280,6688,6688,8096,0,0,176,0,0,176,0,0,176
0,51,1,0,1,unchanged,0,16,16,360,488,488,488,0,0,16,0,16,0,0,16,0
0,51,1,0,1,one_edit,0,64,40,1440,1952,1952,1952,0,0,64,0,64,0,0,64,0
0,51,1,0,1,far,0,176,70,3960,5368,5368,5368,0,0,176,0,176,0,0,176,0
0,51,1,0,4,unchanged,0,16,16,480,608,608,608,0,0,16,0,16,0,0,16,0
0,51,1,0,4,one_edit,0,64,40,1920,2432,2432,2432,0,0,64,0,64,0,0,64,0
0,51,1,0,4,far,0,176,70,5280,6688,6688,6688,0,0,176,0,176,0,0,176,0
0,51,1,0,16,unchanged,0,16,16,960,1088,1088,1088,0,0,16,0,16,0,0,16,0
0,51,1,0,16,one_edit,0,64,40,3840,4352,4352,4352,0,0,64,0,64,0,0,64,0
0,51,1,0,16,far,0,176,70,10560,11968,11968,11968,0,0,176,0,176,0,0,176,0
0,51,1,2,1,unchanged,0,16,16,360,488,488,520,0,0,16,0,0,16,0,0,16
0,51,1,2,1,one_edit,0,64,40,1440,1952,1952,2080,0,0,64,0,0,64,0,0,64
0,51,1,2,1,far,0,176,70,3960,5368,5368,5720,0,0,176,0,0,176,0,0,176
0,51,1,2,4,unchanged,0,16,16,480,608,608,640,0,0,16,0,0,16,0,0,16
0,51,1,2,4,one_edit,0,64,40,1920,2432,2432,2560,0,0,64,0,0,64,0,0,64
0,51,1,2,4,far,0,176,70,5280,6688,6688,7040,0,0,176,0,0,176,0,0,176
0,51,1,2,16,unchanged,0,16,16,960,1088,1088,1120,0,0,16,0,0,16,0,0,16
0,51,1,2,16,one_edit,0,64,40,3840,4352,4352,4480,0,0,64,0,0,64,0,0,64
0,51,1,2,16,far,0,176,70,10560,11968,11968,12320,0,0,176,0,0,176,0,0,176
0,51,1,4,1,unchanged,0,16,16,360,488,488,552,0,0,16,0,0,16,0,0,16
0,51,1,4,1,one_edit,0,64,40,1440,1952,1952,2208,0,0,64,0,0,64,0,0,64
0,51,1,4,1,far,0,176,70,3960,5368,5368,6072,0,0,176,0,0,176,0,0,176
0,51,1,4,4,unchanged,0,16,16,480,608,608,672,0,0,16,0,0,16,0,0,16
0,51,1,4,4,one_edit,0,64,40,1920,2432,2432,2688,0,0,64,0,0,64,0,0,64
0,51,1,4,4,far,0,176,70,5280,6688,6688,7392,0,0,176,0,0,176,0,0,176
0,51,1,4,16,unchanged,0,16,16,960,1088,1088,1152,0,0,16,0,0,16,0,0,16
0,51,1,4,16,one_edit,0,64,40,3840,4352,4352,4608,0,0,64,0,0,64,0,0,64
0,51,1,4,16,far,0,176,70,10560,11968,11968,12672,0,0,176,0,0,176,0,0,176
0,51,1,8,1,unchanged,0,16,16,360,488,488,616,0,0,16,0,0,16,0,0,16
0,51,1,8,1,one_edit,0,64,40,1440,1952,1952,2464,0,0,64,0,0,64,0,0,64
