n,A,B,dispatch,cost_entries,finite_cost_lower,finite_only_target_equalities,local_target_classes,finite_target_classes
6,0,51,0,272,0,0,3,3
9,0,51,0,272,0,0,3,3
11,0,51,0,272,0,0,3,3
6,0,51,1,272,0,0,3,3
9,0,51,1,272,0,0,3,3
11,0,51,1,272,0,0,3,3
6,0,51,2,272,0,0,3,3
9,0,51,2,272,0,0,3,3
11,0,51,2,272,0,0,3,3
6,0,51,4,272,0,0,3,3
9,0,51,4,272,0,0,3,3
11,0,51,4,272,0,0,3,3
6,4,30,0,272,119,14,15,11
9,4,30,0,272,34,5,15,13
11,4,30,0,272,34,1,15,14
6,4,30,1,272,116,14,15,11
9,4,30,1,272,34,5,15,13
11,4,30,1,272,32,1,15,14
6,4,30,2,272,112,14,15,11
9,4,30,2,272,34,5,15,13
11,4,30,2,272,32,1,15,14
6,4,30,4,272,112,14,15,11
9,4,30,4,272,42,5,15,13
11,4,30,4,272,32,1,15,14
6,30,110,0,272,0,0,16,16
9,30,110,0,272,0,0,16,16
11,30,110,0,272,0,0,16,16
6,30,110,1,272,0,0,16,16
9,30,110,1,272,0,0,16,16
11,30,110,1,272,0,0,16,16
6,30,110,2,272,0,0,16,16
9,30,110,2,272,0,0,16,16
11,30,110,2,272,0,0,16,16
6,30,110,4,272,0,0,16,16
9,30,110,4,272,0,0,16,16
11,30,110,4,272,0,0,16,16
6,51,170,0,272,85,8,5,3
9,51,170,0,272,0,0,5,5
11,51,170,0,272,0,0,5,5
6,51,170,1,272,85,8,5,3
9,51,170,1,272,0,0,5,5
11,51,170,1,272,0,0,5,5
6,51,170,2,272,85,8,5,3
9,51,170,2,272,0,0,5,5
11,51,170,2,272,0,0,5,5
6,51,170,4,272,85,8,5,3
9,51,170,4,272,0,0,5,5
11,51,170,4,272,0,0,5,5
6,54,110,0,272,0,0,16,16
9,54,110,0,272,0,0,16,16
11,54,110,0,272,0,0,16,16
6,54,110,1,272,0,0,16,16
9,54,110,1,272,0,0,16,16
11,54,110,1,272,0,0,16,16
6,54,110,2,272,0,0,16,16
9,54,110,2,272,0,0,16,16
11,54,110,2,272,0,0,16,16
6,54,110,4,272,0,0,16,16
9,54,110,4,272,0,0,16,16
11,54,110,4,272,0,0,16,16
6,90,150,0,272,272,64,5,3
9,90,150,0,272,272,0,5,5
11,90,150,0,272,85,0,5,5
6,90,150,1,272,272,64,5,3
9,90,150,1,272,272,0,5,5
11,90,150,1,272,69,0,5,5
6,90,150,2,272,272,64,5,3
9,90,150,2,272,272,0,5,5
11,90,150,2,272,69,0,5,5
6,90,150,4,272,272,64,5,3
9,90,150,4,272,272,0,5,5
11,90,150,4,272,69,0,5,5
6,110,184,0,272,68,1,16,15
9,110,184,0,272,0,0,16,16
11,110,184,0,272,0,0,16,16
6,110,184,1,272,67,1,16,15
9,110,184,1,272,0,0,16,16
11,110,184,1,272,0,0,16,16
6,110,184,2,272,67,1,16,15
9,110,184,2,272,0,0,16,16
11,110,184,2,272,0,0,16,16
6,110,184,4,272,67,1,16,15
9,110,184,4,272,0,0,16,16
11,110,184,4,272,0,0,16,16
6,184,250,0,272,255,30,16,5
9,184,250,0,272,34,1,16,15
11,184,250,0,272,0,0,16,16
6,184,250,1,272,258,30,16,5
9,184,250,1,272,35,1,16,15
11,184,250,1,272,2,0,16,16
6,184,250,2,272,255,30,16,5
9,184,250,2,272,31,1,16,15
11,184,250,2,272,2,0,16,16
6,184,250,4,272,255,30,16,5
9,184,250,4,272,31,1,16,15
11,184,250,4,272,2,0,16,16
