rule_a,rule_b,regime,density,activity,baseline,autonomy_r1,autonomy_r2,autonomy_r3
214,240,commute,0.0,0.0,1.0,1.0,1.0,1.0
165,204,commute,0.0,0.0,1.0,1.0,1.0,1.0
100,170,commute,0.0,0.0,1.0,1.0,1.0,1.0
15,150,commute,0.0,0.0,1.0,1.0,1.0,1.0
160,240,commute,0.0,0.0,1.0,1.0,1.0,1.0
8,42,commute,0.0,0.0,1.0,1.0,1.0,1.0
240,243,commute,0.0,0.0,1.0,1.0,1.0,1.0
0,150,commute,0.0,0.0,1.0,1.0,1.0,1.0
131,255,commute,0.0,0.0,1.0,1.0,1.0,1.0
170,213,commute,0.0,0.0,1.0,1.0,1.0,1.0
0,22,commute,0.0,0.0,1.0,1.0,1.0,1.0
34,140,commute,0.0,0.0,1.0,1.0,1.0,1.0
166,240,commute,0.0,0.0,1.0,1.0,1.0,1.0
0,168,commute,0.0,0.0,1.0,1.0,1.0,1.0
85,142,commute,0.0,0.0,1.0,1.0,1.0,1.0
45,204,commute,0.0,0.0,1.0,1.0,1.0,1.0
120,204,commute,0.0,0.0,1.0,1.0,1.0,1.0
240,241,commute,0.0,0.0,1.0,1.0,1.0,1.0
211,255,commute,0.0,0.0,1.0,1.0,1.0,1.0
106,170,commute,0.0,0.0,1.0,1.0,1.0,1.0
170,183,commute,0.0,0.0,1.0,1.0,1.0,1.0
175,240,commute,0.0,0.0,1.0,1.0,1.0,1.0
85,170,commute,0.0,0.0,1.0,1.0,1.0,1.0
77,240,commute,0.0,0.0,1.0,1.0,1.0,1.0
70,240,commute,0.0,0.0,1.0,1.0,1.0,1.0
204,213,commute,0.0,0.0,1.0,1.0,1.0,1.0
0,198,commute,0.0,0.0,1.0,1.0,1.0,1.0
192,204,commute,0.0,0.0,1.0,1.0,1.0,1.0
161,204,commute,0.0,0.0,1.0,1.0,1.0,1.0
0,148,commute,0.0,0.0,1.0,1.0,1.0,1.0
230,240,commute,0.0,0.0,1.0,1.0,1.0,1.0
104,240,commute,0.0,0.0,1.0,1.0,1.0,1.0
0,248,commute,0.0,0.0,1.0,1.0,1.0,1.0
16,236,commute,0.0,0.0,1.0,1.0,1.0,1.0
32,240,commute,0.0,0.0,1.0,1.0,1.0,1.0
78,240,commute,0.0,0.0,1.0,1.0,1.0,1.0
4,232,commute,0.0,0.0,1.0,1.0,1.0,1.0
94,170,commute,0.0,0.0,1.0,1.0,1.0,1.0
187,255,commute,0.0,0.0,1.0,1.0,1.0,1.0
60,240,commute,0.0,0.0,1.0,1.0,1.0,1.0
202,204,commute,0.0,0.0,1.0,1.0,1.0,1.0
21,204,commute,0.0,0.0,1.0,1.0,1.0,1.0
43,170,commute,0.0,0.0,1.0,1.0,1.0,1.0
48,204,commute,0.0,0.0,1.0,1.0,1.0,1.0
165,240,commute,0.0,0.0,1.0,1.0,1.0,1.0
90,204,commute,0.0,0.0,1.0,1.0,1.0,1.0
0,176,commute,0.0,0.0,1.0,1.0,1.0,1.0
14,240,commute,0.0,0.0,1.0,1.0,1.0,1.0
77,85,commute,0.0,0.0,1.0,1.0,1.0,1.0
51,150,commute,0.0,0.0,1.0,1.0,1.0,1.0
32,170,commute,0.0,0.0,1.0,1.0,1.0,1.0
82,204,commute,0.0,0.0,1.0,1.0,1.0,1.0
197,240,commute,0.0,0.0,1.0,1.0,1.0,1.0
15,232,commute,0.0,0.0,1.0,1.0,1.0,1.0
84,204,commute,0.0,0.0,1.0,1.0,1.0,1.0
204,241,commute,0.0,0.0,1.0,1.0,1.0,1.0
113,240,commute,0.0,0.0,1.0,1.0,1.0,1.0
204,234,commute,0.0,0.0,1.0,1.0,1.0,1.0
45,240,commute,0.0,0.0,1.0,1.0,1.0,1.0
106,204,commute,0.0,0.0,1.0,1.0,1.0,1.0
0,222,commute,0.0,0.0,1.0,1.0,1.0,1.0
93,170,commute,0.0,0.0,1.0,1.0,1.0,1.0
32,64,commute,0.0,0.0,1.0,1.0,1.0,1.0
239,251,commute,0.0,0.0,1.0,1.0,1.0,1.0
43,240,commute,0.0,0.0,1.0,1.0,1.0,1.0
153,195,commute,0.0,0.0,1.0,1.0,1.0,1.0
170,172,commute,0.0,0.0,1.0,1.0,1.0,1.0
6,170,commute,0.0,0.0,1.0,1.0,1.0,1.0
156,204,commute,0.0,0.0,1.0,1.0,1.0,1.0
0,76,commute,0.0,0.0,1.0,1.0,1.0,1.0
170,222,commute,0.0,0.0,1.0,1.0,1.0,1.0
99,240,commute,0.0,0.0,1.0,1.0,1.0,1.0
197,204,commute,0.0,0.0,1.0,1.0,1.0,1.0
0,18,commute,0.0,0.0,1.0,1.0,1.0,1.0
204,216,commute,0.0,0.0,1.0,1.0,1.0,1.0
141,255,commute,0.0,0.0,1.0,1.0,1.0,1.0
0,234,commute,0.0,0.0,1.0,1.0,1.0,1.0
108,204,commute,0.0,0.0,1.0,1.0,1.0,1.0
200,255,commute,0.0,0.0,1.0,1.0,1.0,1.0
185,204,commute,0.0,0.0,1.0,1.0,1.0,1.0
0,252,commute,0.0,0.0,1.0,1.0,1.0,1.0
95,170,commute,0.0,0.0,1.0,1.0,1.0,1.0
171,239,commute,0.0,0.0,1.0,1.0,1.0,1.0
169,255,commute,0.0,0.0,1.0,1.0,1.0,1.0
134,204,commute,0.0,0.0,1.0,1.0,1.0,1.0
35,240,commute,0.0,0.0,1.0,1.0,1.0,1.0
240,245,commute,0.0,0.0,1.0,1.0,1.0,1.0
170,242,commute,0.0,0.0,1.0,1.0,1.0,1.0
163,170,commute,0.0,0.0,1.0,1.0,1.0,1.0
16,228,commute,0.0,0.0,1.0,1.0,1.0,1.0
92,204,commute,0.0,0.0,1.0,1.0,1.0,1.0
219,255,commute,0.0,0.0,1.0,1.0,1.0,1.0
0,102,commute,0.0,0.0,1.0,1.0,1.0,1.0
47,170,commute,0.0,0.0,1.0,1.0,1.0,1.0
196,240,commute,0.0,0.0,1.0,1.0,1.0,1.0
0,220,commute,0.0,0.0,1.0,1.0,1.0,1.0
103,240,commute,0.0,0.0,1.0,1.0,1.0,1.0
154,240,commute,0.0,0.0,1.0,1.0,1.0,1.0
240,251,commute,0.0,0.0,1.0,1.0,1.0,1.0
240,246,commute,0.0,0.0,1.0,1.0,1.0,1.0
111,204,commute,0.0,0.0,1.0,1.0,1.0,1.0
191,255,commute,0.0,0.0,1.0,1.0,1.0,1.0
173,240,commute,0.0,0.0,1.0,1.0,1.0,1.0
170,192,commute,0.0,0.0,1.0,1.0,1.0,1.0
117,204,commute,0.0,0.0,1.0,1.0,1.0,1.0
170,239,commute,0.0,0.0,1.0,1.0,1.0,1.0
138,204,commute,0.0,0.0,1.0,1.0,1.0,1.0
29,240,commute,0.0,0.0,1.0,1.0,1.0,1.0
0,190,commute,0.0,0.0,1.0,1.0,1.0,1.0
0,54,commute,0.0,0.0,1.0,1.0,1.0,1.0
167,240,commute,0.0,0.0,1.0,1.0,1.0,1.0
76,170,commute,0.0,0.0,1.0,1.0,1.0,1.0
170,228,commute,0.0,0.0,1.0,1.0,1.0,1.0
240,248,commute,0.0,0.0,1.0,1.0,1.0,1.0
109,240,commute,0.0,0.0,1.0,1.0,1.0,1.0
0,118,commute,0.0,0.0,1.0,1.0,1.0,1.0
