rule_a,rule_b,acc_r2,acc_r1,remainder_rule
147,155,1.0,0.585,
136,198,1.0,1.0,
223,229,1.0,1.0,
78,242,1.0,1.0,
52,53,1.0,1.0,
106,159,0.9389,0.8966,
138,205,1.0,1.0,170.0
143,246,1.0,1.0,240.0
99,192,0.7749,0.7553,
32,71,1.0,1.0,240.0
52,239,1.0,1.0,
24,219,1.0,1.0,
31,193,0.7149,0.6267,
93,144,0.9735,0.9599,
46,74,1.0,0.86,
107,128,0.8284,0.7649,
24,186,1.0,0.775,
80,120,1.0,0.87,
16,244,1.0,0.855,
8,65,1.0,0.86,
129,177,0.9329,0.4799,
40,79,1.0,0.71,
107,200,0.8724,0.79,
40,57,1.0,1.0,240.0
27,213,1.0,1.0,170.0
49,88,0.8853,0.8418,
8,131,1.0,0.745,
77,111,1.0,0.715,
7,254,0.8519,0.8345,
16,22,1.0,0.75,
4,184,1.0,1.0,
203,226,1.0,1.0,240.0
165,173,0.7548,0.5555,
23,138,1.0,1.0,
31,200,0.9401,0.9401,
12,81,1.0,1.0,240.0
114,175,0.975,0.94,
58,157,1.0,1.0,
49,206,1.0,1.0,
96,97,1.0,0.805,
10,71,1.0,0.75,
2,164,1.0,1.0,
98,125,1.0,0.82,
70,244,0.9367,0.9141,
59,94,0.8213,0.7487,
103,253,1.0,0.815,
22,75,1.0,1.0,
7,131,0.96,0.955,
78,114,1.0,1.0,240.0
198,217,1.0,1.0,240.0
14,91,1.0,1.0,
43,189,0.7198,0.6514,
46,179,1.0,1.0,240.0
79,114,1.0,1.0,240.0
84,214,0.9719,0.5294,
163,196,1.0,1.0,170.0
101,227,0.7649,0.7649,
48,145,1.0,1.0,170.0
25,185,0.7372,0.698,
113,216,0.9626,0.8775,
87,181,0.8551,0.595,
9,27,1.0,1.0,240.0
7,76,0.8832,0.8667,
121,243,1.0,1.0,170.0
54,206,0.9923,0.9815,
139,202,1.0,1.0,
113,221,1.0,0.8,
61,244,0.8001,0.7125,
41,66,0.9137,0.5857,
125,238,0.8998,0.8825,
29,83,1.0,0.88,
117,188,0.6697,0.6248,
112,252,1.0,0.83,
138,232,1.0,1.0,
144,182,0.7674,0.5897,
113,114,1.0,0.93,
37,231,1.0,1.0,
96,148,1.0,1.0,
13,79,1.0,0.745,
225,242,1.0,0.805,
35,70,1.0,1.0,
87,236,0.9422,0.92,
142,184,0.7846,0.7096,
70,180,0.7812,0.7805,
163,247,1.0,0.785,
85,187,1.0,1.0,170.0
17,150,0.8299,0.7624,
139,197,1.0,1.0,170.0
14,111,1.0,0.685,
135,227,0.8751,0.8185,
136,147,0.9376,0.8803,
23,163,1.0,1.0,240.0
16,84,1.0,0.82,
112,184,1.0,0.945,
130,243,1.0,0.81,
17,241,1.0,1.0,170.0
146,197,0.945,0.94,
156,198,0.8666,0.8209,
30,96,1.0,1.0,240.0
89,96,1.0,0.645,
60,155,1.0,1.0,240.0
174,183,1.0,0.73,
117,215,1.0,1.0,170.0
84,250,0.7544,0.6871,
125,207,1.0,0.685,
107,135,0.7205,0.6603,
8,134,1.0,1.0,170.0
56,184,1.0,0.885,
2,218,1.0,0.785,
51,107,0.845,0.815,
33,246,0.7875,0.6948,
179,210,0.8662,0.8498,
41,162,0.7299,0.6194,
5,108,0.7342,0.6018,
80,121,0.9474,0.5849,
83,123,1.0,1.0,
38,70,0.8599,0.549,
66,241,1.0,0.705,
144,147,0.8799,0.8121,
66,131,0.8315,0.8315,
41,63,1.0,1.0,240.0
10,72,1.0,1.0,
133,187,1.0,0.65,
109,200,0.7973,0.7949,
22,34,1.0,0.665,
107,114,0.8725,0.86,
63,254,0.9102,0.8775,
96,125,1.0,0.695,
75,206,0.8348,0.7475,
2,30,1.0,0.745,
64,251,1.0,1.0,
86,200,1.0,1.0,240.0
179,190,1.0,0.835,
43,226,1.0,0.93,
61,219,0.9724,0.9075,
22,43,0.945,0.945,
112,115,1.0,1.0,170.0
32,221,1.0,1.0,170.0
103,190,0.9352,0.8551,
33,143,1.0,1.0,240.0
38,188,1.0,1.0,170.0
1,156,0.9024,0.8803,
9,144,0.8534,0.73,
9,28,0.8374,0.825,
10,225,0.8524,0.6675,
74,141,0.8949,0.5858,
192,212,1.0,1.0,
16,78,1.0,1.0,
92,106,0.91,0.8775,
113,215,1.0,1.0,170.0
117,157,0.7765,0.6719,
94,225,1.0,1.0,
89,224,0.9526,0.9325,
87,208,0.94,0.9151,
116,156,1.0,0.655,
29,37,0.7259,0.72,
23,58,1.0,1.0,240.0
117,254,0.9023,0.8,
192,213,1.0,0.645,
111,221,1.0,0.68,
146,162,0.841,0.7317,
12,144,1.0,1.0,
123,191,1.0,1.0,240.0
137,215,1.0,1.0,
118,156,0.9074,0.6501,
34,101,0.7747,0.7563,
190,208,1.0,1.0,
13,124,0.7573,0.5899,
112,125,1.0,0.735,
217,245,1.0,1.0,
27,69,1.0,1.0,170.0
144,228,1.0,1.0,
68,89,1.0,0.585,
68,149,1.0,0.68,
7,8,1.0,0.78,
3,242,0.8498,0.8,
106,197,1.0,1.0,
81,134,0.7296,0.6271,
134,138,0.9599,0.7676,
228,230,1.0,0.73,
127,154,0.8523,0.8087,
59,92,1.0,1.0,170.0
160,241,1.0,0.855,
79,246,0.7699,0.5925,
140,158,1.0,0.665,
33,202,0.8699,0.8525,
194,245,0.8001,0.6551,
51,65,1.0,1.0,
115,140,0.9649,0.9649,
85,213,1.0,0.81,
137,234,0.965,0.965,
80,187,1.0,1.0,
157,177,1.0,1.0,
