A,B,dispatch,trace,K,cycles,shift,useful_inheritance,cases,sum_uncompiled,sum_frozen,sum_replacement_oracle,sum_revision_oracle,sum_replacement_reactive_lex,sum_revision_reactive_lex,sum_replacement_reactive_stay,sum_revision_reactive_stay,revision_oracle_win_uncompiled,revision_oracle_tie_uncompiled,revision_oracle_loss_uncompiled,revision_oracle_win_frozen,revision_oracle_tie_frozen,revision_oracle_loss_frozen,revision_oracle_win_replacement,revision_oracle_tie_replacement,revision_oracle_loss_replacement,revision_reactive_lex_win_uncompiled,revision_reactive_lex_tie_uncompiled,revision_reactive_lex_loss_uncompiled,revision_reactive_lex_win_frozen,revision_reactive_lex_tie_frozen,revision_reactive_lex_loss_frozen,revision_reactive_lex_win_replacement,revision_reactive_lex_tie_replacement,revision_reactive_lex_loss_replacement,revision_reactive_stay_win_uncompiled,revision_reactive_stay_tie_uncompiled,revision_reactive_stay_loss_uncompiled,revision_reactive_stay_win_frozen,revision_reactive_stay_tie_frozen,revision_reactive_stay_loss_frozen,revision_reactive_stay_win_replacement,revision_reactive_stay_tie_replacement,revision_reactive_stay_loss_replacement,replacement_lex_regret_cases,replacement_lex_regret_sum,replacement_lex_regret_max,replacement_stay_regret_cases,replacement_stay_regret_sum,replacement_stay_regret_max,replacement_tie_changes_cost,revision_lex_regret_cases,revision_lex_regret_sum,revision_lex_regret_max,revision_stay_regret_cases,revision_stay_regret_sum,revision_stay_regret_max,revision_tie_changes_cost
0,51,0,0,1,1,unchanged,0,16,200,328,328,328,328,328,328,328,0,0,16,0,16,0,0,16,0,0,0,16,0,16,0,0,16,0,0,0,16,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,2,1,1,unchanged,0,16,200,328,328,360,328,360,328,360,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,4,1,1,unchanged,0,16,200,328,328,392,328,392,328,392,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,8,1,1,unchanged,0,16,200,328,328,456,328,456,328,456,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,0,1,1,one_edit,0,64,800,1312,1312,1312,1312,1312,1312,1312,0,0,64,0,64,0,0,64,0,0,0,64,0,64,0,0,64,0,0,0,64,0,64,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,2,1,1,one_edit,0,64,800,1312,1312,1440,1312,1440,1312,1440,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,4,1,1,one_edit,0,64,800,1312,1312,1568,1312,1568,1312,1568,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,8,1,1,one_edit,0,64,800,1312,1312,1824,1312,1824,1312,1824,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,0,1,1,far,0,176,2200,3608,3608,3608,3608,3608,3608,3608,0,0,176,0,176,0,0,176,0,0,0,176,0,176,0,0,176,0,0,0,176,0,176,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,2,1,1,far,0,176,2200,3608,3608,3960,3608,3960,3608,3960,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,4,1,1,far,0,176,2200,3608,3608,4312,3608,4312,3608,4312,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,8,1,1,far,0,176,2200,3608,3608,5016,3608,5016,3608,5016,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
