fine_rule,block_map,coarse_rule,trivial_target
0,1,255,True
8,1,255,True
15,1,240,False
51,1,204,False
64,1,255,True
85,1,170,False
170,1,170,False
186,1,128,False
187,1,0,True
188,1,192,False
189,1,0,True
190,1,128,False
191,1,0,True
204,1,204,False
206,1,136,False
207,1,0,True
219,1,0,True
220,1,192,False
221,1,0,True
222,1,128,False
223,1,0,True
230,1,136,False
231,1,0,True
236,1,204,False
238,1,136,False
239,1,0,True
240,1,240,False
242,1,128,False
243,1,0,True
246,1,128,False
247,1,0,True
250,1,128,False
251,1,0,True
252,1,192,False
253,1,0,True
254,1,128,False
255,1,0,True
0,2,0,True
8,2,0,True
12,2,204,False
15,2,240,False
34,2,170,False
38,2,34,False
42,2,170,False
46,2,34,False
51,2,204,False
64,2,0,True
85,2,170,False
140,2,204,False
170,2,170,False
174,2,34,False
204,2,204,False
208,2,48,False
209,2,48,False
211,2,48,False
220,2,204,False
221,2,204,False
239,2,0,True
240,2,240,False
241,2,240,False
243,2,240,False
253,2,0,True
255,2,0,True
0,3,255,True
5,3,200,False
8,3,255,True
10,3,187,False
15,3,240,False
51,3,204,False
60,3,195,False
64,3,255,True
80,3,243,False
85,3,170,False
90,3,165,False
95,3,236,False
102,3,153,False
105,3,150,False
150,3,150,False
153,3,102,False
160,3,254,False
165,3,90,False
170,3,170,False
175,3,34,False
195,3,60,False
204,3,204,False
239,3,0,True
240,3,240,False
245,3,48,False
250,3,128,False
253,3,0,True
255,3,0,True
0,4,0,True
8,4,0,True
15,4,240,False
48,4,240,False
51,4,204,False
52,4,48,False
64,4,0,True
68,4,204,False
85,4,170,False
112,4,240,False
116,4,48,False
138,4,34,False
139,4,34,False
155,4,34,False
170,4,170,False
171,4,170,False
187,4,170,False
196,4,204,False
204,4,204,False
206,4,204,False
207,4,204,False
239,4,0,True
240,4,240,False
244,4,48,False
253,4,0,True
255,4,0,True
0,5,255,True
5,5,200,False
8,5,255,True
10,5,187,False
15,5,240,False
51,5,204,False
60,5,195,False
64,5,255,True
80,5,243,False
85,5,170,False
