states,image,fixed,cycles,recurrent,max_period,max_transient,largest_basin,commutator_nonzero,graph_sha256,model,mode,encoding,width,rule_change_recurrent
65536,31450,2192,4592,15120,40,18,256,56720,8c4c6794de7c5d07349fb0cbb8457dfdc7e47e2d5ee43efddce5aefd56a0dbb4,ring,frozen,0,8,0
65536,29877,99,124,155,4,20,33694,64403,a2b51937d18412a2684c2c9b241ef83508eb627e2d42085851d4de10fb6e54f1,ring,mutual,0,8,56
65536,16844,1,5,14,4,26,50759,64161,e6d9b82af076053882b5be31c53f7e815865b996c5d19668c3929c427118ad45,ring,derivative,0,8,6
65536,31450,2192,4592,15120,40,18,256,56720,59b54afcceac8f9be2225342846ffbd0b07826f52a05c9860291eee230dadc65,ring,frozen,1,8,0
65536,29877,99,124,155,4,20,33694,64403,420f554685bf8c1a6df04feb54bf9437a4a5d0f411a84aff3fc1048574c42432,ring,mutual,1,8,56
65536,16844,1,5,14,4,26,50759,64161,27d0316dd201b33c7b88118d750b251c74a51c7a2fdc5fd120c95c7e3cc93f27,ring,derivative,1,8,6
65536,31450,2192,4592,15120,40,18,256,56720,9be507f48090b31163556cb2479b894d6c2af52390bfb7576b4ff84a3846a7c5,ring,frozen,2,8,0
65536,29877,99,124,155,4,20,33694,64403,039629f27b427185621fc628d87f8300d520b07bc5547d86712a61cef570c093,ring,mutual,2,8,56
65536,16844,1,5,14,4,26,50759,64161,fb2e58f4435bf732268f6e937022ff4cd147b015ec9d93e4cf2bfb99823114fa,ring,derivative,2,8,6
65536,31450,2192,4592,15120,40,18,256,56720,05493ea323189ec01f2b77391b4cd87ac003f703bc50c271ae1a3e5f516addf4,ring,frozen,3,8,0
65536,29877,99,124,155,4,20,33694,64403,0964ea67cbfed1433dd7696d869dd9a6e77ec9c6a73f473d7699cbb261057a5b,ring,mutual,3,8,56
65536,16844,1,5,14,4,26,50759,64161,87060766b296c38f9773d7e727911912429ee028a616652b5708c9563e4f53dc,ring,derivative,3,8,6
65536,31450,2192,4592,15120,40,18,256,56720,897f285833953aa70a69def8feddc83715fc2f7d3ff902960e123ee692998d4e,ring,frozen,4,8,0
65536,29877,99,124,155,4,20,33694,64403,bbb5b9ae8dd72c6df3fdd9824b9f23159077bc3e451bae74c56bafe291ab0e1f,ring,mutual,4,8,56
65536,16844,1,5,14,4,26,50759,64161,933440ee5f491f4c338175dc512dd8e9a5fb30ddaaa64fee77659613bc1198ab,ring,derivative,4,8,6
65536,31450,2192,4592,15120,40,18,256,56720,cc383f032abe3f0c0c288363881c079ea29f10e01ff994f1ad3e2b5b741eb532,ring,frozen,5,8,0
65536,29877,99,124,155,4,20,33694,64403,c355a681dad8b5376847b7dac756a128928d3231e6833b4520a94f0643773341,ring,mutual,5,8,56
65536,16844,1,5,14,4,26,50759,64161,d260bd5150cacfda45293dcc5f24010e7b2f7e0ecc13fe21d1c60b010bfeabea,ring,derivative,5,8,6
65536,31450,2192,4592,15120,40,18,256,56720,9bb51112a4801d0fe763da116cdffc4a1b30c71abddc6d933210b8fc7e089d87,ring,frozen,6,8,0
65536,29877,99,124,155,4,20,33694,64403,e433b1053fc915db355ca81d59b8d5c718f9eacac130d79aa4db556309182f3b,ring,mutual,6,8,56
65536,16844,1,5,14,4,26,50759,64161,e7f8255f29b60a275adba99a683f182e808b073ded40b92f66a28e3c9c67ee95,ring,derivative,6,8,6
65536,31450,2192,4592,15120,40,18,256,56720,d59bf312af0ac61dd3f881f51f9e3bd5c989080a285c142070f627ef7e6cb45b,ring,frozen,7,8,0
65536,29877,99,124,155,4,20,33694,64403,d909d939a1d432d32260f29476fc8a9f806de72a43ab6f1483dd7d7f109623d3,ring,mutual,7,8,56
65536,16844,1,5,14,4,26,50759,64161,3fd37e96a0180daf3f4817141cfd19fa262548720223b39d94d958b32d63f1d1,ring,derivative,7,8,6
65536,31450,2192,4592,15120,40,18,256,56720,e7f044a13c75f4a17568be3baad2042177521fd262e21b6d8c36df2fc02a4f16,ring,frozen,8,8,0
65536,29877,99,124,155,4,20,33694,64414,a57c97b4f96d5bf6d814844c1683b74c7f15526cdeada341c8926f149771cf81,ring,mutual,8,8,56
65536,16844,1,6,18,4,33,48121,64150,4692b9b4af5a31f386ff98d85ff7d7f95a27babb014c91c1c20a0837b5ce5252,ring,derivative,8,8,10
65536,31450,2192,4592,15120,40,18,256,56720,cfa81d8bcdddf0ee3d72c08928e01ee8e6b083cdf53055ff90906e7dc95dd9d4,ring,frozen,9,8,0
65536,29877,99,124,155,4,20,33694,64414,e4b266c6e63fd26909f822f09bc657473132238ebdaf7331776fdc80fa37fab6,ring,mutual,9,8,56
65536,16844,1,6,18,4,33,48121,64150,2b937a9856c17b522909c06a5cf7ea88456398f2c192addde0e882d082b4ab99,ring,derivative,9,8,10
65536,31450,2192,4592,15120,40,18,256,56720,6a90d946fb5e6832cf0bd1adec7fc5ebc982d3b9efbff0ff8d52d097d83b57b6,ring,frozen,10,8,0
65536,29877,99,124,155,4,20,33694,64414,f1ca91833e0c5ade226ced4428dbc2da5a485fa59a8de033f8a02cc279580fa5,ring,mutual,10,8,56
