width,observed_steps,future_steps,mode,source_pairs,panels,unique_rule_panels,ambiguous_rule_one_future,multiple_future_panels,source_weighted_multiple_future_fraction,mean_candidate_rules,mean_rule_bits,mean_continuations,max_continuations,mean_future_bits,max_future_bits,more_futures_than_autonomous,fewer_futures_than_autonomous
6,0,1,autonomous,16384,64,0,0,64,1.0,256.0,8.0,33.9375,64,4.6875,6,0,0
6,0,2,autonomous,16384,64,0,0,64,1.0,256.0,8.0,104.625,160,6.8125,8,0,0
6,0,3,autonomous,16384,64,0,0,64,1.0,256.0,8.0,126.0625,170,7.28125,8,0,0
6,0,4,autonomous,16384,64,0,0,64,1.0,256.0,8.0,130.375,170,7.46875,8,0,0
6,0,1,flip_cell_0,16384,64,0,0,64,1.0,256.0,8.0,33.9375,64,4.6875,6,32,32
6,0,2,flip_cell_0,16384,64,0,0,64,1.0,256.0,8.0,104.625,160,6.8125,8,32,32
6,0,3,flip_cell_0,16384,64,0,0,64,1.0,256.0,8.0,126.0625,170,7.28125,8,32,32
6,0,4,flip_cell_0,16384,64,0,0,64,1.0,256.0,8.0,130.375,170,7.46875,8,32,32
6,1,1,autonomous,16384,2172,0,636,1536,0.69921875,7.543278084714549,2.620626151012891,3.0828729281767955,16,1.1988950276243093,4,0,0
6,1,2,autonomous,16384,2172,0,576,1596,0.716796875,7.543278084714549,2.620626151012891,3.714548802946593,16,1.5736648250460405,4,0,0
6,1,3,autonomous,16384,2172,0,564,1608,0.72265625,7.543278084714549,2.620626151012891,3.841620626151013,16,1.6178637200736647,4,0,0
6,1,4,autonomous,16384,2172,0,564,1608,0.72265625,7.543278084714549,2.620626151012891,3.863720073664825,16,1.639963167587477,4,0,0
6,1,1,flip_cell_0,16384,2172,0,564,1608,0.794921875,7.543278084714549,2.620626151012891,3.3259668508287294,16,1.3047882136279927,4,728,616
6,1,2,flip_cell_0,16384,2172,0,308,1864,0.8837890625,7.543278084714549,2.620626151012891,4.435543278084714,63,1.8867403314917126,6,856,594
6,1,3,flip_cell_0,16384,2172,0,286,1886,0.890625,7.543278084714549,2.620626151012891,4.791896869244936,76,2.016574585635359,7,828,462
6,1,4,flip_cell_0,16384,2172,0,286,1886,0.890625,7.543278084714549,2.620626151012891,4.887661141804788,78,2.0497237569060776,7,824,410
6,2,1,autonomous,16384,6696,3024,2516,1156,0.19091796875,2.4468339307048983,0.8261648745519713,1.2048984468339308,8,0.1869772998805257,3,0,0
6,2,2,autonomous,16384,6696,3024,2336,1336,0.22021484375,2.4468339307048983,0.8261648745519713,1.2461170848267622,8,0.22819593787335724,3,0,0
6,2,3,autonomous,16384,6696,3024,2312,1360,0.22314453125,2.4468339307048983,0.8261648745519713,1.2532855436081243,8,0.23178016726403824,3,0,0
6,2,4,autonomous,16384,6696,3024,2288,1384,0.22607421875,2.4468339307048983,0.8261648745519713,1.2568697729988052,8,0.23536439665471923,3,0,0
6,2,1,flip_cell_0,16384,6696,3024,1980,1692,0.458984375,2.4468339307048983,0.8261648745519713,1.3936678614097968,16,0.30794504181600957,4,956,418
6,2,2,flip_cell_0,16384,6696,3024,1636,2036,0.51708984375,2.4468339307048983,0.8261648745519713,1.5910991636798089,45,0.43189964157706096,6,1090,350
6,2,3,flip_cell_0,16384,6696,3024,1480,2192,0.539794921875,2.4468339307048983,0.8261648745519713,1.6523297491039426,52,0.46714456391875747,6,1094,222
6,2,4,flip_cell_0,16384,6696,3024,1412,2260,0.548095703125,2.4468339307048983,0.8261648745519713,1.673536439665472,52,0.482078853046595,6,1086,154
6,3,1,autonomous,16384,8068,5208,2584,276,0.041015625,2.030738720872583,0.556271690629648,1.0342092216162617,2,0.034209221616261776,1,0,0
6,3,2,autonomous,16384,8068,5208,2536,324,0.046875,2.030738720872583,0.556271690629648,1.0401586514625683,2,0.04015865146256817,1,0,0
6,3,3,autonomous,16384,8068,5208,2512,348,0.0498046875,2.030738720872583,0.556271690629648,1.0431333663857214,2,0.04313336638572137,1,0,0
6,3,4,autonomous,16384,8068,5208,2488,372,0.052734375,2.030738720872583,0.556271690629648,1.0461080813088746,2,0.04610808130887457,1,0,0
6,3,1,flip_cell_0,16384,8068,5208,1682,1178,0.37353515625,2.030738720872583,0.556271690629648,1.2630143777887952,8,0.19162121963311848,3,1014,92
6,3,2,flip_cell_0,16384,8068,5208,1458,1402,0.4150390625,2.030738720872583,0.556271690629648,1.389439762022806,45,0.26524541398116014,6,1166,68
6,3,3,flip_cell_0,16384,8068,5208,1414,1446,0.42041015625,2.030738720872583,0.556271690629648,1.4206742687159146,52,0.27689638076351014,6,1170,52
6,3,4,flip_cell_0,16384,8068,5208,1382,1478,0.42431640625,2.030738720872583,0.556271690629648,1.429846306395637,52,0.282350024789291,6,1158,32
6,4,1,autonomous,16384,8344,5688,2608,48,0.005859375,1.9635666347075742,0.5105465004793864,1.00575263662512,2,0.005752636625119847,1,0,0
6,4,2,autonomous,16384,8344,5688,2584,72,0.0087890625,1.9635666347075742,0.5105465004793864,1.0086289549376797,2,0.00862895493767977,1,0,0
6,4,3,autonomous,16384,8344,5688,2560,96,0.01171875,1.9635666347075742,0.5105465004793864,1.0115052732502396,2,0.011505273250239693,1,0,0
6,4,4,autonomous,16384,8344,5688,2560,96,0.01171875,1.9635666347075742,0.5105465004793864,1.0115052732502396,2,0.011505273250239693,1,0,0
6,4,1,flip_cell_0,16384,8344,5688,1678,978,0.3388671875,1.9635666347075742,0.5105465004793864,1.2111697027804411,8,0.15460210930009588,3,942,12
6,4,2,flip_cell_0,16384,8344,5688,1488,1168,0.37451171875,1.9635666347075742,0.5105465004793864,1.3293384467881113,45,0.2224352828379674,6,1100,4
6,4,3,flip_cell_0,16384,8344,5688,1452,1204,0.37890625,1.9635666347075742,0.5105465004793864,1.3564237775647172,52,0.23202301054650049,6,1128,20
6,4,4,flip_cell_0,16384,8344,5688,1452,1204,0.37890625,1.9635666347075742,0.5105465004793864,1.361457334611697,52,0.23346116970278044,6,1128,20
6,5,1,autonomous,16384,8392,5784,2584,24,0.0029296875,1.9523355576739752,0.501906577693041,1.0028598665395614,2,0.002859866539561487,1,0,0
